drug_name,id,type,arg1,arg2
CIMZIA,RL95,Hypothetical,M327,M325
CIMZIA,RL96,Hypothetical,M327,M328
CIMZIA,RL97,Hypothetical,M330,M329
CIMZIA,RL98,Hypothetical,M331,M329
GRANIX,RL1,Effect,M4,M3
GRANIX,RL2,Hypothetical,M7,M6
GRANIX,RL3,Hypothetical,M16,M15
GRANIX,RL4,Hypothetical,M17,M15
GRANIX,RL5,Hypothetical,M18,M15
GRANIX,RL6,Hypothetical,M19,M15
GRANIX,RL7,Hypothetical,M20,M15
GRANIX,RL8,Hypothetical,M21,M15
GRANIX,RL9,Hypothetical,M22,M15
GRANIX,RL10,Effect,M34,M35
GRANIX,RL11,Hypothetical,M34,M37
GRANIX,RL12,Hypothetical,M36,M37
GRANIX,RL13,Hypothetical,M39,M41
GRANIX,RL14,Hypothetical,M40,M41
GRANIX,RL15,Hypothetical,M42,M44
GRANIX,RL16,Hypothetical,M43,M44
GRANIX,RL17,Effect,M46,M45
GRANIX,RL18,Hypothetical,M46,M48
GRANIX,RL19,Hypothetical,M47,M48
GRANIX,RL20,Hypothetical,M49,M51
GRANIX,RL21,Hypothetical,M50,M51
GRANIX,RL22,Hypothetical,M52,M54
GRANIX,RL23,Hypothetical,M53,M54
GRANIX,RL24,Hypothetical,M60,M59
GRANIX,RL25,Hypothetical,M61,M59
GRANIX,RL26,Hypothetical,M62,M59
TUDORZA,RL1,Effect,M20,M19
TUDORZA,RL2,Hypothetical,M35,M36
TUDORZA,RL3,Hypothetical,M37,M38
TUDORZA,RL4,Hypothetical,M41,M40
JEVTANA,RL1,Effect,M40,M39
JEVTANA,RL2,Effect,M40,M37
JEVTANA,RL3,Effect,M40,M38
JEVTANA,RL4,Effect,M41,M37
JEVTANA,RL5,Effect,M41,M39
JEVTANA,RL6,Effect,M41,M38
JEVTANA,RL7,Effect,M42,M37
JEVTANA,RL8,Effect,M42,M39
JEVTANA,RL9,Effect,M42,M38
JEVTANA,RL10,Effect,M43,M39
JEVTANA,RL11,Effect,M43,M37
JEVTANA,RL12,Effect,M43,M38
JEVTANA,RL13,Effect,M44,M37
JEVTANA,RL14,Effect,M44,M39
JEVTANA,RL15,Effect,M44,M38
JEVTANA,RL16,Effect,M45,M37
JEVTANA,RL17,Effect,M45,M39
JEVTANA,RL18,Effect,M45,M38
JEVTANA,RL19,Effect,M46,M37
JEVTANA,RL20,Effect,M46,M39
JEVTANA,RL21,Effect,M46,M38
JEVTANA,RL22,Effect,M47,M37
JEVTANA,RL23,Effect,M47,M39
JEVTANA,RL24,Effect,M47,M38
JEVTANA,RL25,Effect,M48,M37
JEVTANA,RL26,Effect,M48,M39
JEVTANA,RL27,Effect,M48,M38
JEVTANA,RL28,Effect,M49,M37
JEVTANA,RL29,Effect,M49,M39
JEVTANA,RL30,Effect,M49,M38
JEVTANA,RL31,Effect,M50,M37
JEVTANA,RL32,Effect,M50,M39
JEVTANA,RL33,Effect,M50,M38
JEVTANA,RL34,Effect,M51,M37
JEVTANA,RL35,Effect,M51,M39
JEVTANA,RL36,Effect,M51,M38
JEVTANA,RL37,Effect,M52,M37
JEVTANA,RL38,Effect,M52,M39
JEVTANA,RL39,Effect,M52,M38
JEVTANA,RL40,Effect,M53,M37
JEVTANA,RL41,Effect,M53,M39
JEVTANA,RL42,Effect,M53,M38
JEVTANA,RL43,Effect,M54,M37
JEVTANA,RL44,Effect,M54,M39
JEVTANA,RL45,Effect,M54,M38
JEVTANA,RL46,Effect,M55,M37
JEVTANA,RL47,Effect,M55,M39
JEVTANA,RL48,Effect,M55,M38
JEVTANA,RL49,Effect,M56,M37
JEVTANA,RL50,Effect,M56,M39
JEVTANA,RL51,Effect,M56,M38
JEVTANA,RL52,Effect,M57,M37
JEVTANA,RL53,Effect,M57,M39
JEVTANA,RL54,Effect,M57,M38
JEVTANA,RL55,Effect,M58,M37
JEVTANA,RL56,Effect,M58,M39
JEVTANA,RL57,Effect,M58,M38
JEVTANA,RL58,Effect,M59,M37
JEVTANA,RL59,Effect,M59,M39
JEVTANA,RL60,Effect,M59,M38
JEVTANA,RL61,Effect,M60,M37
JEVTANA,RL62,Effect,M60,M39
JEVTANA,RL63,Effect,M60,M38
JEVTANA,RL64,Effect,M64,M63
JEVTANA,RL65,Effect,M64,M61
JEVTANA,RL66,Effect,M64,M62
JEVTANA,RL67,Effect,M65,M63
JEVTANA,RL68,Effect,M65,M62
JEVTANA,RL69,Effect,M65,M61
JEVTANA,RL70,Effect,M66,M63
JEVTANA,RL71,Effect,M66,M62
JEVTANA,RL72,Effect,M66,M61
JEVTANA,RL73,Effect,M67,M63
JEVTANA,RL74,Effect,M67,M62
JEVTANA,RL75,Effect,M67,M61
JEVTANA,RL76,Effect,M68,M63
JEVTANA,RL77,Effect,M68,M62
JEVTANA,RL78,Effect,M68,M61
JEVTANA,RL79,Effect,M69,M63
JEVTANA,RL80,Effect,M69,M62
JEVTANA,RL81,Effect,M69,M61
JEVTANA,RL82,Effect,M70,M63
JEVTANA,RL83,Effect,M70,M62
JEVTANA,RL84,Effect,M70,M61
JEVTANA,RL85,Effect,M114,M113
JEVTANA,RL86,Negated,M119,M118
JEVTANA,RL87,Effect,M127,M126
JEVTANA,RL88,Effect,M133,M132
JEVTANA,RL89,Effect,M133,M130
JEVTANA,RL90,Effect,M133,M131
JEVTANA,RL91,Effect,M134,M130
JEVTANA,RL92,Effect,M134,M132
JEVTANA,RL93,Effect,M134,M131
JEVTANA,RL94,Effect,M135,M130
JEVTANA,RL95,Effect,M135,M132
JEVTANA,RL96,Effect,M135,M131
JEVTANA,RL97,Effect,M139,M138
JEVTANA,RL98,Effect,M139,M136
JEVTANA,RL99,Effect,M139,M137
JEVTANA,RL100,Effect,M140,M136
JEVTANA,RL101,Effect,M140,M138
JEVTANA,RL102,Effect,M140,M137
JEVTANA,RL103,Effect,M141,M136
JEVTANA,RL104,Effect,M141,M138
JEVTANA,RL105,Effect,M141,M137
JEVTANA,RL106,Effect,M142,M136
JEVTANA,RL107,Effect,M142,M138
JEVTANA,RL108,Effect,M142,M137
JEVTANA,RL109,Effect,M143,M136
JEVTANA,RL110,Effect,M143,M138
JEVTANA,RL111,Effect,M143,M137
JEVTANA,RL112,Effect,M144,M136
JEVTANA,RL113,Effect,M144,M138
JEVTANA,RL114,Effect,M144,M137
JEVTANA,RL115,Effect,M145,M136
JEVTANA,RL116,Effect,M145,M138
JEVTANA,RL117,Effect,M145,M137
JEVTANA,RL118,Effect,M149,M148
JEVTANA,RL119,Effect,M149,M146
JEVTANA,RL120,Effect,M149,M147
JEVTANA,RL121,Effect,M150,M146
JEVTANA,RL122,Effect,M150,M148
JEVTANA,RL123,Effect,M150,M147
JEVTANA,RL124,Effect,M162,M161
JEVTANA,RL125,Hypothetical,M162,M163
JEVTANA,RL126,Hypothetical,M165,M164
JEVTANA,RL127,Hypothetical,M166,M164
JEVTANA,RL128,Hypothetical,M167,M164
JEVTANA,RL129,Hypothetical,M168,M164
JEVTANA,RL130,Effect,M172,M171
JEVTANA,RL131,Hypothetical,M172,M173
JEVTANA,RL132,Hypothetical,M175,M174
JEVTANA,RL133,Hypothetical,M176,M174
JEVTANA,RL134,Hypothetical,M177,M174
JEVTANA,RL135,Hypothetical,M178,M174
JEVTANA,RL136,Effect,M180,M179
JEVTANA,RL137,Effect,M187,M186
JEVTANA,RL138,Hypothetical,M187,M188
JEVTANA,RL139,Hypothetical,M190,M193
JEVTANA,RL140,Hypothetical,M191,M193
JEVTANA,RL141,Hypothetical,M192,M193
JEVTANA,RL142,Hypothetical,M207,M206
JEVTANA,RL143,Hypothetical,M208,M213
JEVTANA,RL144,Hypothetical,M209,M213
JEVTANA,RL145,Hypothetical,M210,M213
JEVTANA,RL146,Hypothetical,M211,M213
JEVTANA,RL147,Hypothetical,M212,M213
JEVTANA,RL148,Effect,M221,M220
JEVTANA,RL149,Negated,M226,M225
JEVTANA,RL150,Effect,M230,M229
JEVTANA,RL151,Effect,M230,M227
JEVTANA,RL152,Effect,M230,M228
JEVTANA,RL153,Hypothetical,M231,M232
JEVTANA,RL154,Effect,M234,M233
JEVTANA,RL155,Hypothetical,M234,M235
JEVTANA,RL156,Hypothetical,M237,M236
JEVTANA,RL157,Hypothetical,M238,M236
JEVTANA,RL158,Hypothetical,M239,M236
JEVTANA,RL159,Hypothetical,M240,M236
JEVTANA,RL160,Effect,M242,M241
JEVTANA,RL161,Hypothetical,M243,M247
JEVTANA,RL162,Hypothetical,M244,M247
JEVTANA,RL163,Effect,M246,M245
JEVTANA,RL164,Hypothetical,M246,M247
JEVTANA,RL165,Hypothetical,M268,M267
JEVTANA,RL166,Hypothetical,M271,M269
JEVTANA,RL167,Hypothetical,M271,M270
JEVTANA,RL168,Hypothetical,M272,M269
JEVTANA,RL169,Hypothetical,M272,M270
JEVTANA,RL170,Hypothetical,M273,M269
JEVTANA,RL171,Hypothetical,M273,M270
ILARIS,RL1,Effect,M7,M6
ILARIS,RL2,Effect,M8,M3
ILARIS,RL3,Effect,M8,M5
ILARIS,RL4,Effect,M8,M4
ILARIS,RL5,Hypothetical,M29,M28
ILARIS,RL6,Effect,M43,M44
ILARIS,RL7,Effect,M47,M46
ILARIS,RL8,Effect,M50,M49
ILARIS,RL9,Negated,M50,M48
ILARIS,RL10,Effect,M55,M54
ILARIS,RL11,Negated,M80,M79
ILARIS,RL12,Effect,M85,M87
ILARIS,RL13,Effect,M86,M87
ILARIS,RL14,Effect,M89,M88
ILARIS,RL15,Effect,M89,M91
ILARIS,RL16,Effect,M90,M88
ILARIS,RL17,Effect,M90,M91
ILARIS,RL18,Effect,M97,M96
ILARIS,RL19,Effect,M97,M93
ILARIS,RL20,Effect,M97,M95
ILARIS,RL21,Effect,M97,M94
ILARIS,RL22,Effect,M99,M101
ILARIS,RL23,Effect,M100,M101
ILARIS,RL24,Effect,M103,M102
ILARIS,RL25,Negated,M105,M104
ILARIS,RL26,Effect,M108,M107
ILARIS,RL27,Hypothetical,M108,M106
ILARIS,RL28,Effect,M110,M109
ILARIS,RL29,Effect,M113,M112
ILARIS,RL30,Hypothetical,M113,M111
ILARIS,RL31,Effect,M115,M118
ILARIS,RL32,Effect,M117,M118
ILARIS,RL33,Effect,M127,M126
ILARIS,RL34,Hypothetical,M127,M128
ILARIS,RL35,Hypothetical,M130,M129
ILARIS,RL36,Hypothetical,M131,M129
ILARIS,RL37,Hypothetical,M133,M132
ILARIS,RL38,Negated,M136,M135
ILARIS,RL39,Hypothetical,M138,M137
ILARIS,RL40,Hypothetical,M140,M141
AMPYRA,RL1,Hypothetical,M38,M37
AMPYRA,RL2,Hypothetical,M40,M39
AMPYRA,RL3,Hypothetical,M42,M41
AMPYRA,RL4,Hypothetical,M44,M43
AMPYRA,RL5,Hypothetical,M50,M49
AMPYRA,RL6,Hypothetical,M52,M51
AMPYRA,RL7,Effect,M54,M53
AMPYRA,RL8,Hypothetical,M54,M51
SIRTURO,RL1,Effect,M18,M19
SIRTURO,RL2,Hypothetical,M22,M23
SIRTURO,RL3,Negated,M26,M25
SIRTURO,RL4,Hypothetical,M42,M41
SIRTURO,RL5,Hypothetical,M43,M44
SIRTURO,RL6,Hypothetical,M46,M45
SIRTURO,RL7,Hypothetical,M48,M47
SIRTURO,RL8,Hypothetical,M49,M50
SIRTURO,RL9,Hypothetical,M52,M51
SIRTURO,RL10,Hypothetical,M53,M54
SIRTURO,RL11,Hypothetical,M55,M56
SIRTURO,RL12,Hypothetical,M58,M57
SIRTURO,RL13,Hypothetical,M64,M63
ADREVIEW,RL1,Effect,M2,M1
ADREVIEW,RL2,Effect,M11,M9
ADREVIEW,RL3,Effect,M11,M10
ADREVIEW,RL4,Effect,M12,M10
ADREVIEW,RL5,Effect,M12,M9
ADREVIEW,RL6,Effect,M13,M10
ADREVIEW,RL7,Effect,M13,M9
ADREVIEW,RL8,Effect,M14,M9
ADREVIEW,RL9,Effect,M14,M10
ADREVIEW,RL10,Effect,M15,M10
ADREVIEW,RL11,Effect,M15,M9
ADREVIEW,RL12,Hypothetical,M27,M26
ARCAPTA,RL1,Hypothetical,M2,M1
ARCAPTA,RL2,Hypothetical,M3,M1
ARCAPTA,RL3,Negated,M9,M33
ARCAPTA,RL4,Negated,M10,M33
ARCAPTA,RL5,Negated,M34,M33
ARCAPTA,RL6,Negated,M35,M33
ARCAPTA,RL7,Negated,M38,M37
ARCAPTA,RL8,Negated,M41,M40
ARCAPTA,RL9,Hypothetical,M55,M53
ARCAPTA,RL10,Hypothetical,M55,M54
ARCAPTA,RL11,Hypothetical,M57,M56
ARCAPTA,RL12,Hypothetical,M61,M60
ARCAPTA,RL13,Hypothetical,M61,M59
ARCAPTA,RL14,Hypothetical,M63,M62
ARCAPTA,RL15,Hypothetical,M65,M64
ARCAPTA,RL16,Effect,M68,M67
ARCAPTA,RL17,Hypothetical,M68,M66
ARCAPTA,RL18,Hypothetical,M69,M66
ARCAPTA,RL19,Hypothetical,M70,M71
ARCAPTA,RL20,Hypothetical,M73,M74
ARCAPTA,RL21,Effect,M73,M72
ARCAPTA,RL22,Hypothetical,M76,M75
ARCAPTA,RL23,Hypothetical,M78,M77
ARCAPTA,RL24,Hypothetical,M80,M79
ARCAPTA,RL25,Hypothetical,M82,M83
ARCAPTA,RL26,Hypothetical,M85,M84
ARCAPTA,RL27,Effect,M85,M86
ARCAPTA,RL28,Effect,M89,M88
ARCAPTA,RL29,Hypothetical,M89,M87
ARCAPTA,RL30,Hypothetical,M90,M87
ARCAPTA,RL31,Hypothetical,M91,M87
ARCAPTA,RL32,Hypothetical,M92,M87
ARCAPTA,RL33,Hypothetical,M94,M93
ARCAPTA,RL34,Hypothetical,M95,M93
ARCAPTA,RL35,Hypothetical,M96,M93
ARCAPTA,RL36,Hypothetical,M97,M93
ARCAPTA,RL37,Hypothetical,M99,M98
ARCAPTA,RL38,Hypothetical,M100,M98
ARCAPTA,RL39,Effect,M103,M102
ARCAPTA,RL40,Hypothetical,M103,M101
ARCAPTA,RL41,Hypothetical,M104,M101
ARCAPTA,RL42,Hypothetical,M107,M106
INTELENCE,RL1,Effect,M2,M1
INTELENCE,RL2,Effect,M3,M1
INTELENCE,RL3,Effect,M7,M4
INTELENCE,RL4,Effect,M7,M5
INTELENCE,RL5,Effect,M7,M6
INTELENCE,RL6,Effect,M8,M4
INTELENCE,RL7,Effect,M8,M5
INTELENCE,RL8,Effect,M8,M6
INTELENCE,RL9,Effect,M12,M11
INTELENCE,RL10,Effect,M17,M18
INTELENCE,RL11,Effect,M17,M19
INTELENCE,RL12,Effect,M17,M20
INTELENCE,RL13,Effect,M23,M24
INTELENCE,RL14,Hypothetical,M27,M26
INTELENCE,RL15,Hypothetical,M30,M29
INTELENCE,RL16,Effect,M96,M95
INTELENCE,RL17,Effect,M97,M95
INTELENCE,RL18,Effect,M98,M95
INTELENCE,RL19,Effect,M103,M104
INTELENCE,RL20,Effect,M106,M107
INTELENCE,RL21,Effect,M108,M111
INTELENCE,RL22,Effect,M108,M112
INTELENCE,RL23,Effect,M108,M113
INTELENCE,RL24,Effect,M116,M115
INTELENCE,RL25,Effect,M125,M122
INTELENCE,RL26,Effect,M125,M123
INTELENCE,RL27,Effect,M134,M130
INTELENCE,RL28,Effect,M134,M132
INTELENCE,RL29,Hypothetical,M134,M131
INTELENCE,RL30,Effect,M146,M145
INTELENCE,RL31,Effect,M146,M144
INTELENCE,RL32,Hypothetical,M159,M160
PICATO,RL1,Hypothetical,M59,M67
PICATO,RL2,Hypothetical,M61,M67
PICATO,RL3,Effect,M61,M60
PICATO,RL4,Hypothetical,M62,M67
PICATO,RL5,Hypothetical,M63,M67
PICATO,RL6,Hypothetical,M64,M67
PICATO,RL7,Hypothetical,M65,M67
PICATO,RL8,Hypothetical,M66,M67
PICATO,RL9,Hypothetical,M68,M73
PICATO,RL10,Effect,M69,M74
PICATO,RL11,Hypothetical,M69,M73
PICATO,RL12,Effect,M70,M74
PICATO,RL13,Hypothetical,M70,M73
PICATO,RL14,Effect,M71,M74
PICATO,RL15,Hypothetical,M71,M73
PICATO,RL16,Effect,M72,M74
PICATO,RL17,Hypothetical,M72,M73
PICATO,RL18,Hypothetical,M75,M83
PICATO,RL19,Effect,M77,M76
PICATO,RL20,Hypothetical,M77,M83
PICATO,RL21,Hypothetical,M78,M83
PICATO,RL22,Hypothetical,M79,M83
PICATO,RL23,Hypothetical,M80,M83
PICATO,RL24,Hypothetical,M81,M83
PICATO,RL25,Hypothetical,M82,M83
PICATO,RL26,Effect,M88,M87
PICATO,RL27,Hypothetical,M88,M96
PICATO,RL28,Hypothetical,M89,M96
PICATO,RL29,Hypothetical,M90,M96
PICATO,RL30,Hypothetical,M91,M96
PICATO,RL31,Hypothetical,M92,M96
PICATO,RL32,Hypothetical,M93,M96
PICATO,RL33,Hypothetical,M94,M96
PICATO,RL34,Hypothetical,M95,M96
VIZAMYL,RL1,Effect,M7,M6
VIZAMYL,RL2,Hypothetical,M25,M24
POTIGA,RL1,Hypothetical,M3,M2
POTIGA,RL2,Hypothetical,M122,M121
POTIGA,RL3,Hypothetical,M125,M124
POTIGA,RL4,Hypothetical,M127,M126
POTIGA,RL5,Hypothetical,M128,M126
POTIGA,RL6,Negated,M134,M133
POTIGA,RL7,Hypothetical,M140,M139
POTIGA,RL8,Negated,M146,M145
POTIGA,RL9,Hypothetical,M149,M148
POTIGA,RL10,Hypothetical,M153,M152
POTIGA,RL11,Negated,M168,M167
POTIGA,RL12,Hypothetical,M176,M175
POTIGA,RL13,Negated,M191,M192
POTIGA,RL14,Negated,M191,M193
POTIGA,RL15,Hypothetical,M200,M199
POTIGA,RL16,Hypothetical,M225,M224
POTIGA,RL17,Hypothetical,M226,M224
POTIGA,RL18,Effect,M244,M243
POTIGA,RL19,Hypothetical,M247,M246
POTIGA,RL20,Hypothetical,M248,M246
POTIGA,RL21,Hypothetical,M250,M249
POTIGA,RL22,Hypothetical,M251,M249
POTIGA,RL23,Negated,M258,M257
POTIGA,RL24,Hypothetical,M259,M261
POTIGA,RL25,Hypothetical,M260,M261
POTIGA,RL26,Hypothetical,M263,M262
POTIGA,RL27,Hypothetical,M264,M262
POTIGA,RL28,Hypothetical,M266,M265
POTIGA,RL29,Hypothetical,M267,M265
POTIGA,RL30,Hypothetical,M269,M268
POTIGA,RL31,Hypothetical,M270,M268
BREO,RL1,Hypothetical,M2,M1
BREO,RL2,Hypothetical,M3,M4
BREO,RL3,Hypothetical,M6,M5
BREO,RL4,Hypothetical,M9,M8
BREO,RL5,Negated,M79,M78
BREO,RL6,Hypothetical,M93,M92
BREO,RL7,Hypothetical,M95,M94
BREO,RL8,Hypothetical,M96,M97
BREO,RL9,Hypothetical,M100,M99
BREO,RL10,Hypothetical,M102,M101
BREO,RL11,Hypothetical,M103,M104
BREO,RL12,Hypothetical,M106,M105
BREO,RL13,Hypothetical,M107,M109
BREO,RL14,Hypothetical,M108,M109
BREO,RL15,Hypothetical,M111,M110
BREO,RL16,Hypothetical,M113,M112
BREO,RL17,Effect,M122,M120
BREO,RL18,Hypothetical,M122,M124
BREO,RL19,Effect,M123,M120
BREO,RL20,Hypothetical,M123,M124
BREO,RL21,Hypothetical,M126,M125
BREO,RL22,Hypothetical,M127,M129
BREO,RL23,Hypothetical,M128,M129
BREO,RL24,Hypothetical,M131,M130
BREO,RL25,Hypothetical,M132,M133
BREO,RL26,Hypothetical,M135,M134
BREO,RL27,Hypothetical,M136,M137
BREO,RL28,Negated,M139,M138
BREO,RL29,Negated,M141,M140
BREO,RL30,Hypothetical,M142,M143
BREO,RL31,Negated,M152,M151
BREO,RL32,Negated,M153,M151
BREO,RL33,Hypothetical,M157,M156
BREO,RL34,Effect,M158,M160
BREO,RL35,Hypothetical,M158,M162
BREO,RL36,Effect,M159,M160
BREO,RL37,Hypothetical,M159,M162
BREO,RL38,Hypothetical,M161,M162
BREO,RL39,Hypothetical,M164,M163
BREO,RL40,Hypothetical,M165,M168
BREO,RL41,Hypothetical,M166,M168
BREO,RL42,Hypothetical,M167,M168
BREO,RL43,Hypothetical,M170,M169
BREO,RL44,Effect,M171,M173
BREO,RL45,Hypothetical,M171,M172
BREO,RL46,Hypothetical,M174,M179
BREO,RL47,Hypothetical,M175,M179
BREO,RL48,Hypothetical,M176,M179
BREO,RL49,Hypothetical,M177,M179
BREO,RL50,Hypothetical,M178,M179
BREO,RL51,Hypothetical,M180,M181
BREO,RL52,Hypothetical,M183,M182
BREO,RL53,Hypothetical,M184,M182
BREO,RL54,Hypothetical,M185,M182
BREO,RL55,Hypothetical,M186,M182
BREO,RL56,Hypothetical,M187,M182
BREO,RL57,Hypothetical,M188,M182
BREO,RL58,Hypothetical,M190,M189
BREO,RL59,Hypothetical,M191,M189
BREO,RL60,Hypothetical,M192,M189
BREO,RL61,Hypothetical,M193,M189
BREO,RL62,Effect,M196,M195
BREO,RL63,Hypothetical,M198,M197
BREO,RL64,Hypothetical,M199,M201
BREO,RL65,Hypothetical,M200,M201
BREO,RL66,Hypothetical,M202,M205
BREO,RL67,Hypothetical,M203,M205
BREO,RL68,Hypothetical,M204,M205
BREO,RL69,Hypothetical,M207,M206
BREO,RL70,Hypothetical,M208,M206
BREO,RL71,Hypothetical,M211,M209
BREO,RL72,Effect,M211,M210
BREO,RL73,Hypothetical,M215,M213
BREO,RL74,Effect,M215,M214
BREO,RL75,Hypothetical,M217,M216
DOTAREM,RL1,Hypothetical,M2,M1
DOTAREM,RL2,Negated,M3,M4
DOTAREM,RL3,Hypothetical,M68,M69
DOTAREM,RL4,Negated,M71,M70
DOTAREM,RL5,Hypothetical,M78,M77
DOTAREM,RL6,Hypothetical,M81,M80
DOTAREM,RL7,Hypothetical,M83,M80
DOTAREM,RL8,Effect,M83,M82
DOTAREM,RL9,Hypothetical,M85,M84
DOTAREM,RL10,Hypothetical,M89,M88
DOTAREM,RL11,Hypothetical,M91,M90
DOTAREM,RL12,Effect,M96,M99
DOTAREM,RL13,Effect,M96,M100
DOTAREM,RL14,Effect,M97,M99
DOTAREM,RL15,Effect,M97,M100
DOTAREM,RL16,Effect,M98,M99
DOTAREM,RL17,Effect,M98,M100
DOTAREM,RL18,Hypothetical,M103,M102
DOTAREM,RL19,Hypothetical,M104,M102
DOTAREM,RL20,Hypothetical,M106,M105
DOTAREM,RL21,Hypothetical,M107,M108
DOTAREM,RL22,Hypothetical,M109,M108
DOTAREM,RL23,Hypothetical,M111,M108
DOTAREM,RL24,Effect,M111,M110
DOTAREM,RL25,Hypothetical,M117,M116
DOTAREM,RL26,Hypothetical,M118,M119
DOTAREM,RL27,Hypothetical,M120,M121
NESINA,RL1,Effect,M18,M17
NESINA,RL2,Effect,M20,M19
NESINA,RL3,Negated,M22,M21
NESINA,RL4,Effect,M29,M28
NESINA,RL5,Effect,M35,M33
NESINA,RL6,Effect,M35,M34
NESINA,RL7,Effect,M41,M40
NESINA,RL8,Effect,M45,M44
NESINA,RL9,Effect,M53,M51
NESINA,RL10,Effect,M53,M52
NESINA,RL11,Hypothetical,M53,M54
NESINA,RL12,Effect,M57,M56
NESINA,RL13,Effect,M61,M60
NESINA,RL14,Effect,M66,M64
NESINA,RL15,Effect,M67,M69
NESINA,RL16,Effect,M68,M69
NESINA,RL17,Effect,M72,M70
NESINA,RL18,Hypothetical,M72,M73
NESINA,RL19,Effect,M72,M71
EYLEA,RL1,Hypothetical,M78,M80
EYLEA,RL2,Hypothetical,M79,M80
EYLEA,RL3,Hypothetical,M82,M83
EYLEA,RL4,Hypothetical,M87,M88
EYLEA,RL5,Hypothetical,M90,M89
EYLEA,RL6,Hypothetical,M91,M89
EYLEA,RL7,Negated,M94,M93
TECFIDERA,RL1,Effect,M35,M34
TECFIDERA,RL2,Negated,M40,M39
TECFIDERA,RL3,Effect,M40,M41
TECFIDERA,RL4,Effect,M42,M43
TECFIDERA,RL5,Negated,M42,M39
TECFIDERA,RL6,Effect,M46,M45
TECFIDERA,RL7,Hypothetical,M53,M52
TECFIDERA,RL8,Hypothetical,M54,M52
TECFIDERA,RL9,Effect,M63,M62
TECFIDERA,RL10,Hypothetical,M66,M65
TECFIDERA,RL11,Effect,M71,M70
TECFIDERA,RL12,Effect,M73,M74
TECFIDERA,RL13,Negated,M73,M72
TECFIDERA,RL14,Effect,M86,M87
TECFIDERA,RL15,Effect,M86,M88
TECFIDERA,RL16,Effect,M91,M90
TECFIDERA,RL17,Effect,M91,M92
TREANDA,RL1,Negated,M74,M72
TREANDA,RL2,Effect,M75,M73
TREANDA,RL3,Negated,M75,M72
TREANDA,RL4,Effect,M77,M73
TREANDA,RL5,Effect,M80,M79
TREANDA,RL6,Effect,M80,M78
TREANDA,RL7,Effect,M81,M84
TREANDA,RL8,Effect,M81,M83
TREANDA,RL9,Effect,M82,M84
TREANDA,RL10,Effect,M82,M83
TREANDA,RL11,Hypothetical,M86,M85
TREANDA,RL12,Hypothetical,M176,M175
TREANDA,RL13,Hypothetical,M177,M175
TREANDA,RL14,Hypothetical,M178,M175
TREANDA,RL15,Hypothetical,M179,M175
TREANDA,RL16,Hypothetical,M180,M175
TREANDA,RL17,Hypothetical,M181,M175
TREANDA,RL18,Hypothetical,M182,M175
TREANDA,RL19,Hypothetical,M183,M175
TREANDA,RL20,Hypothetical,M184,M175
TREANDA,RL21,Hypothetical,M206,M205
TREANDA,RL22,Hypothetical,M223,M224
TREANDA,RL23,Effect,M226,M225
TREANDA,RL24,Effect,M226,M228
TREANDA,RL25,Effect,M226,M227
TREANDA,RL26,Effect,M226,M229
TREANDA,RL27,Effect,M235,M234
TREANDA,RL28,Hypothetical,M246,M245
TREANDA,RL29,Effect,M253,M252
TREANDA,RL30,Effect,M254,M252
TREANDA,RL31,Hypothetical,M257,M256
TREANDA,RL32,Hypothetical,M258,M256
TREANDA,RL33,Effect,M261,M260
TREANDA,RL34,Hypothetical,M261,M259
TREANDA,RL35,Effect,M282,M281
TREANDA,RL36,Hypothetical,M285,M284
TREANDA,RL37,Hypothetical,M288,M286
TREANDA,RL38,Hypothetical,M288,M287
TREANDA,RL39,Hypothetical,M289,M286
TREANDA,RL40,Hypothetical,M289,M287
TREANDA,RL41,Hypothetical,M290,M286
TREANDA,RL42,Hypothetical,M290,M287
TREANDA,RL43,Hypothetical,M291,M286
TREANDA,RL44,Hypothetical,M291,M287
ELIQUIS,RL1,Hypothetical,M2,M1
ELIQUIS,RL2,Effect,M7,M6
ELIQUIS,RL3,Effect,M14,M15
ELIQUIS,RL4,Effect,M32,M33
ELIQUIS,RL5,Effect,M49,M48
ELIQUIS,RL6,Effect,M52,M51
ELIQUIS,RL7,Effect,M56,M55
ELIQUIS,RL8,Effect,M69,M68
ELIQUIS,RL9,Negated,M69,M70
ELIQUIS,RL10,Effect,M72,M71
ELIQUIS,RL11,Negated,M72,M73
ELIQUIS,RL12,Effect,M78,M79
ELIQUIS,RL13,Effect,M135,M134
ELIQUIS,RL14,Hypothetical,M193,M192
ELIQUIS,RL15,Hypothetical,M197,M196
ELIQUIS,RL16,Hypothetical,M201,M200
ELIQUIS,RL17,Hypothetical,M203,M202
ELIQUIS,RL18,Hypothetical,M204,M206
ELIQUIS,RL19,Hypothetical,M205,M206
ELIQUIS,RL20,Hypothetical,M209,M208
ELIQUIS,RL21,Hypothetical,M210,M208
ELIQUIS,RL22,Hypothetical,M212,M211
ELIQUIS,RL23,Hypothetical,M213,M211
ELIQUIS,RL24,Hypothetical,M215,M214
ELIQUIS,RL25,Hypothetical,M219,M218
ELIQUIS,RL26,Hypothetical,M221,M220
ELIQUIS,RL27,Hypothetical,M222,M224
ELIQUIS,RL28,Hypothetical,M223,M224
ELIQUIS,RL29,Hypothetical,M227,M226
ELIQUIS,RL30,Hypothetical,M228,M226
