drug_name,section_name,gpt35_output
ARCAPTA,adverse reactions,"asthma-related death, cough, oropharyngeal pain, nasopharyngitis, headache, nausea, COPD exacerbation, pneumonia, angina pectoris, atrial fibrillation, muscle spasm, musculoskeletal pain, edema peripheral, diabetes mellitus, hyperglycemia, sinusitis, upper respiratory tract infection, cough, respiratory-related deaths, serious adverse reactions, paradoxical bronchospasm, tachycardia/heart rate increase/palpitations, pruritus/rash, dizziness"
ARCAPTA,boxed warnings,"Asthma-related death, Long-acting beta2-adrenergic agonist, LABA, Salmeterol, Indacaterol, ARCAPTA NEOHALER."
ARCAPTA,warnings and precautions,"The adverse drug event terms in the provided drug label excerpt are:
- Acute bronchospasm
- Hypersensitivity reactions
- Paradoxical bronchospasm
- Cardiovascular effects
- Convulsive disorders
- Hyperglycemia"
CERDELGA,adverse reactions,"fatigue, headache, nausea, diarrhea, back pain, pain in extremities, upper abdominal pain, arthralgia, migraine, flatulence, oropharyngeal pain, dizziness, asthenia, cough, dyspepsia, gastroesophageal reflux disease, constipation, palpitations, rash"
CERDELGA,warnings and precautions,"cardiac arrhythmias, long QT syndrome, PR interval prolongation, QTc interval prolongation, QRS interval prolongation"
GADAVIST,adverse reactions,"Nephrogenic Systemic Fibrosis, Hypersensitivity reactions, headache, nausea, dizziness, dysgeusia, feeling hot, injection site reactions, vomiting, rash, pruritus, erythema, dyspnea, paresthesia, loss of consciousness, convulsion, parosmia, tachycardia, palpitation, dry mouth, malaise, feeling cold, cardiac arrest, anaphylactic shock, circulatory collapse, respiratory arrest, pulmonary edema, bronchospasm, cyanosis, oropharyngeal swelling, laryngeal edema, blood pressure increased, chest pain, angioedema, conjunctivitis, hyperhidrosis, cough, sneezing, burning sensation, pallor"
GADAVIST,boxed warnings,"- NEPHROGENIC SYSTEMIC FIBROSIS, 
- NSF, 
- chronic kidney disease, 
- GFR, 
- acute kidney injury, 
- renal function"
GADAVIST,warnings and precautions,"Nephrogenic Systemic Fibrosis, Anaphylactic, hypersensitivity reactions, acute kidney injury, Extravasation, Injection Site Reactions, Overestimation"
ZYKADIA,adverse reactions,"Severe or Persistent Gastrointestinal Toxicity, Hepatotoxicity, Interstitial Lung Disease/Pneumonitis, QT Interval Prolongation, Hyperglycemia, Bradycardia, Pancreatitis, diarrhea, nausea, elevated transaminases, vomiting, abdominal pain, fatigue, decreased appetite, constipation, increased ALT, increased AST, serious adverse drug reactions, convulsion, pneumonia, ILD/pneumonitis, dyspnea, dehydration, hyperglycemia, fatal adverse reactions, respiratory failure, pneumothorax, gastric hemorrhage, physical health deterioration, pulmonary tuberculosis, cardiac tamponade, sepsis, decreased appetite, rash, neuropathy, vision disorder, prolonged QT interval, bradycardia, Hemoglobin decreased, Alanine transaminase (ALT) increased, Aspartate transaminase (AST) increased, Creatinine increased, Glucose increased, Phosphate decreased, Lipase increased, Bilirubin (total) increased"
ZYKADIA,warnings and precautions,"gastrointestinal toxicity, hepatotoxicity, interstitial lung disease, pneumonitis, QT interval prolongation, hyperglycemia, bradycardia, pancreatitis, embryofetal toxicity"
XALKORI,adverse reactions,"hepatotoxicity, interstitial lung disease, pneumonitis, QT interval prolongation, bradycardia, severe visual loss, vision disorders, diarrhea, nausea, vomiting, constipation, edema, elevated transaminases, upper respiratory infection, decreased appetite, dysgeusia, dyspnea, pulmonary embolism, fatal adverse events, dose reduction, permanent discontinuation, laboratory abnormalities, neutropenia, lymphopenia, ALT elevation, AST elevation, hypophosphatemia."
XALKORI,warnings and precautions,"Hepatotoxicity, Interstitial Lung Disease, Pneumonitis, QT Interval Prolongation, Bradycardia, Severe Visual Loss, Embryofetal Toxicity"
BEPREVE,adverse reactions,"taste, eye irritation, headache, nasopharyngitis, hypersensitivity, itching, body rash, swelling"
BEPREVE,warnings and precautions,"contamination, irritation, contact lens-related, red eye"
EDARBI,adverse reactions,"diarrhea, nausea, asthenia, fatigue, muscle spasm, dizziness, postural dizziness, cough, low hemoglobin, low hematocrit, low RBC counts, rash, pruritus, angioedema"
EDARBI,boxed warnings,"FETAL TOXICITY, pregnancy, renin-angiotensin system"
EDARBI,warnings and precautions,"Fetal toxicity, oligohydramnios, neonatal adverse effects, skull hypoplasia, anuria, hypotension, renal failure, hypotension, impaired renal function, oliguria, progressive azotemia, acute renal failure."
POTIGA,adverse reactions,"Retinal abnormalities, potential vision loss, urinary retention, skin discoloration, neuropsychiatric symptoms, dizziness, somnolence, QT interval effect, suicidal behavior, ideation, withdrawal seizures, fatigue, confusional state, vertigo, tremor, abnormal coordination, diplopia, disturbance in attention, memory impairment, asthenia, blurred vision, gait disturbance, aphasia, dysarthria, balance disorder, increased appetite, hallucinations, myoclonus, peripheral edema, hypokinesia, dry mouth, dysphagia, hyperhydrosis, malaise, increased liver enzymes, weight gain, rash, nystagmus, dyspnea, leukopenia, muscle spasms, alopecia, nephrolithiasis, syncope, neutropenia, thrombocytopenia, euphoric mood, renal colic, coma, encephalopathy."
POTIGA,boxed warnings,"retinal abnormalities, vision loss, visual acuity, photoreceptors, retinal pigmentary abnormalities, fluorescein angiograms, optical coherence tomography, perimetry, electroretinograms"
POTIGA,warnings and precautions,"Urinary retention, skin discoloration, neuropsychiatric symptoms, dizziness, somnolence, QT prolongation, suicidal behavior, withdrawal seizures."
TUDORZA,adverse reactions,"Paradoxical bronchospasm, worsening of narrow-angle glaucoma, worsening of urinary retention, immediate hypersensitivity reactions, headache, nasopharyngitis, cough, diarrhea, sinusitis, rhinitis, toothache, fall, vomiting, diabetes mellitus, dry mouth, 1st degree AV block, osteoarthritis, cardiac failure, cardio-respiratory arrest, anaphylaxis, angioedema, urticaria, rash, itching."
TUDORZA,warnings and precautions,"paradoxical bronchospasm, worsening of narrow-angle glaucoma, worsening of urinary retention, immediate hypersensitivity reactions, angioedema, bronchospasm, anaphylaxis"
PROMACTA,adverse reactions,"Hepatic Decompensation, Hepatotoxicity, Thrombotic/Thromboembolic Complications, Cataracts, Nausea, Diarrhea, Upper respiratory tract infection, Vomiting, Increased ALT, Myalgia, Urinary tract infection, Anemia, Pyrexia, Fatigue, Headache, Decreased appetite, Influenza-like illness, Asthenia, Insomnia, Cough, Pruritus, Chills, Alopecia, Peripheral edema, Hyperbilirubinemia, Serum liver test abnormalities, Portal vein thromboses, Abdominal pain, Rhinitis, Toothache, Vitamin D deficiency, Transaminases increased, Arthralgia, Conjunctival hemorrhage, Thrombotic microangiopathy with acute renal failure."
PROMACTA,boxed warnings,"hepatic decompensation, chronic hepatitis C"
PROMACTA,warnings and precautions,"hepatotoxicity, thrombotic event, thromboembolic complications, ascites, encephalopathy, liver enzyme elevations, hyperbilirubinemia, thrombotic complications, portal vein thrombosis, cataracts"
INLYTA,adverse reactions,"hemorrhage, hypertension, arterial thromboembolic events, venous thromboembolic events, cardiac failure, gastrointestinal perforation, fistula formation, thyroid dysfunction, wound healing complications, RPLS, proteinuria, elevation of liver enzymes, hepatic impairment"
INLYTA,warnings and precautions,"hypertension, hypertensive crisis, thrombotic events, hemorrhagic events, cardiac failure, gastrointestinal perforation, fistula, hypothyroidism, reversible posterior leukoencephalopathy syndrome, proteinuria, liver enzyme elevation, hepatic impairment, pregnancy"
NORTHERA,adverse reactions,"Supine Hypertension, Hyperpyrexia, Confusion, exacerbate existing ischemic heart disease, arrhythmias, congestive heart failure, Headache, dizziness, nausea, hypertension, fatigue, Parkinson's disease, multiple system atrophy, pure autonomic failure, dopamine beta-hydroxylase deficiency, non-diabetic autonomic neuropathy, falls, urinary tract infections, syncope."
NORTHERA,boxed warnings,"SUPINE HYPERTENSION, WARNING"
NORTHERA,warnings and precautions,"supine hypertension, cardiovascular events, hyperpyrexia, confusion, neuroleptic malignant syndrome, ischemic heart disease, arrhythmias, congestive heart failure, allergic reactions"
JARDIANCE,adverse reactions,"Hypotension, Renal Function Impairment, Hypoglycemia, Genital Mycotic Infections, Urinary Tract Infections, Increased Low-Density Lipoprotein Cholesterol (LDL-C), Volume Depletion, Increased Urination, Impairment in Renal Function"
JARDIANCE,warnings and precautions,"Hypotension, Impairment in renal function, Hypoglycemia, Genital mycotic infections, Urinary tract infections, Increased LDL-C"
FANAPT,adverse reactions,"dizziness, dry mouth, fatigue, nasal congestion, orthostatic hypotension, somnolence, tachycardia, weight increased, Arthralgia, Musculoskeletal Stiffness, Nausea, Diarrhea, Abdominal Discomfort, Nasopharyngitis, Upper Respiratory Tract Infection, Dizziness, Somnolence, Extrapyramidal Disorder, Tremor, Lethargy, Ejaculation Failure, Nasal Congestion, Vision Blurred, Rash, Orthostatic Hypotension, Hypotension, akathisia, Bradykinesia, Dyskinesia, Dystonia, Parkinsonism, Tremor, palpitations, arrhythmia, atrioventricular block first degree, anemia, iron deficiency anemia, leukopenia, vertigo, tinnitus, hypothyroidism, conjunctivitis, dry eye, blepharitis, eyelid edema, eye swelling, lenticular opacities, cataract, hyperemia, gastritis, salivary hypersecretion, fecal incontinence, mouth ulceration, aphthous stomatitis, duodenal ulcer, hiatus hernia, hyperchlorhydria, lip ulceration, reflux esophagitis, stomatitis, edema, difficulty in walking, thirst, hyperthermia, cholelithiasis, weight decreased, hemoglobin decreased, neutrophil count increased, hematocrit decreased, increased appetite, dehydration, hypokalemia, fluid retention, myalgia, muscle spasms, torticollis, paresthesia, psychomotor hyperactivity, restlessness, amnesia, nystagmus, restless legs syndrome, restlessness, aggression, delusion, hostility, libido decreased, paranoia, anorgasmia, confusional state, mania, catatonia, mood swings, panic attack, obsessive-compulsive disorder, bulimia nervosa, delirium, polydipsia psychogenic, impulse-control disorder, major depression, urinary incontinence, dysuria, pollakiuria, enuresis, nephrolithiasis, urinary retention, renal failure acute, erectile dysfunction, testicular pain, amenorrhea, breast pain, menstruation irregular, gynecomastia, menorrhagia, metrorrhagia, postmenopausal hemorrhage, prostatitis, epistaxis, asthma, rhinorrhea, sinus congestion, nasal dryness, dry throat, sleep apnea syndrome, dyspnea exertional, retrograde ejaculation."
FANAPT,boxed warnings,"mortality, death, cardiovascular, heart failure, sudden death, infectious, pneumonia, observational studies"
FANAPT,warnings and precautions,"death, cerebrovascular-related adverse events, stroke, QT prolongation, arrhythmia, sudden death, Neuroleptic Malignant Syndrome, Tardive dyskinesia, Hyperglycemia, diabetes mellitus, dyslipidemia, Weight Gain, Metabolic Changes, Seizures, Orthostatic hypotension, Leukopenia, Neutropenia, Agranulocytosis, Suicide, Priapism, Cognitive and Motor Impairment"
TANZEUM,adverse reactions,"Thyroid C-cell Tumors, Acute Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, Upper respiratory tract infection, Diarrhea, Nausea, Injection site reaction, Cough, Back pain, Arthralgia, Sinusitis, Influenza, Vomiting, Gastroesophageal reflux disease, Dyspepsia, Constipation, Injection site hematoma, Injection site erythema, Injection site rash, Injection site hypersensitivity, Injection site hemorrhage, Injection site pruritus, Pneumonia, Atrial Fibrillation, Atrial Flutter, Appendicitis, Immunogenicity, Liver Enzyme Abnormalities, Alanine aminotransferase (ALT) increase, Gamma Glutamyltransferase (GGT) Increase, Heart Rate Increase"
TANZEUM,boxed warnings,"thyroid C-cell tumors, medullary thyroid carcinoma (MTC)"
TANZEUM,warnings and precautions,"Thyroid C-cell Tumors, Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, Macrovascular Outcomes"
EYLEA,adverse reactions,"Endophthalmitis, retinal detachments, increased intraocular pressure, thromboembolic events, conjunctival hemorrhage, eye pain, cataract, vitreous floaters, vitreous detachment, ocular hyperemia, corneal epithelium defect, detachment of the retinal pigment epithelium, injection site pain, foreign body sensation in eyes, lacrimation increased, vision blurred, intraocular inflammation, retinal pigment epithelium tear, eyelid edema, corneal edema, hypersensitivity, retinal tear, and injection site hemorrhage."
EYLEA,warnings and precautions,"Endophthalmitis, retinal detachments, increases in intraocular pressure, thromboembolic events"
JEVTANA,adverse reactions,"Bone Marrow Suppression, Hypersensitivity Reactions, Gastrointestinal Adverse Reactions, Renal Failure, Embryo-Fetal Toxicity, neutropenia, anemia, leukopenia, thrombocytopenia, diarrhea, fatigue, nausea, vomiting, constipation, asthenia, abdominal pain, hematuria, back pain, anorexia, peripheral neuropathy, pyrexia, dyspnea, dysgeusia, cough, arthralgia, alopecia, infections, ventricular fibrillation, cerebral hemorrhage, fatigue, febrile neutropenia, arrhythmia, mucosal inflammation, weight decreased, dehydration, muscle spasms, dizziness, headache, dysuria, sepsis, septic shock, increased AST, increased ALT, increased bilirubin, and gastritis."
JEVTANA,boxed warnings,"neutropenia, hypersensitivity, generalized rash/erythema, hypotension, bronchospasm"
JEVTANA,warnings and precautions,"neutropenia, febrile neutropenia, hypersensitivity, nausea, vomiting, diarrhea, gastrointestinal hemorrhage, perforation, renal failure, hepatic impairment, embryo-fetal toxicity"
YERVOY,adverse reactions,"Enterocolitis, hepatitis, dermatitis, neuropathies, endocrinopathies, ocular manifestations, fatigue, diarrhea, pruritus, rash, colitis, urticaria, large intestinal ulcer, esophagitis, acute respiratory distress syndrome, renal failure, infusion reaction, DRESS syndrome."
YERVOY,boxed warnings,"immune-mediated adverse reactions, enterocolitis, hepatitis, dermatitis, toxic epidermal necrolysis, neuropathy, endocrinopathy, severe immune-mediated reactions"
YERVOY,warnings and precautions,"severe adverse reactions, fatal immune-mediated reactions, T-cell activation, immune-mediated enterocolitis, hepatotoxicity, immune-mediated dermatitis, neuropathies, immune-mediated endocrinopathies, nephritis, pneumonitis, meningitis, pericarditis, uveitis, iritis, hemolytic anemia, myocarditis, angiopathy, temporal arteritis, vasculitis, polymyalgia rheumatica, conjunctivitis, blepharitis, episcleritis, scleritis, leukocytoclastic vasculitis, erythema multiforme, psoriasis, pancreatitis, arthritis, sarcoidosis, neurosensory hypoacusis, autoimmune central neuropathy, myositis, polymyositis, ocular myositis"
FARXIGA,adverse reactions,"Hypotension, Impairment in Renal Function, Hypoglycemia, Genital Mycotic Infections, Increases in Low-Density Lipoprotein Cholesterol (LDL-C), Bladder Cancer, Back pain, Increased urination, Male genital mycotic infections, Nausea, Influenza, Dyslipidemia, Constipation, Discomfort with urination, Pain in extremity, Volume Depletion, Hypoglycemia, Hypersensitivity Reactions"
FARXIGA,warnings and precautions,"hypotension, impairment in renal function, hypoglycemia, genital mycotic infections, increases in low-density lipoprotein cholesterol (LDL-C), bladder cancer, macrovascular outcomes"
PICATO,adverse reactions,"Ophthalmic Adverse Reaction, Hypersensitivity Reactions, local skin reactions, application site pain, application site pruritus, application site irritation, application site infection, periorbital edema, nasopharyngitis, headache, erythema, flaking/scaling, crusting, swelling, vesiculation/pustulation, erosion/ulceration, eyelid edema, eye pain, conjunctivitis, hypersensitivity, allergic contact dermatitis, herpes zoster, chemical conjunctivitis, corneal burn."
PICATO,warnings and precautions,"severe eye pain, chemical conjunctivitis, corneal burn, eyelid edema, eyelid ptosis, periorbital edema, vesiculation/pustulation, erosion/ulceration, hypersensitivity reactions, anaphylaxis, allergic contact dermatitis, erythema, crusting, swelling"
PRISTIQ,adverse reactions,"Hypersensitivity, Suicidal Thoughts, Serotonin Syndrome, Elevated Blood Pressure, Abnormal Bleeding, Angle Closure Glaucoma, Activation of Mania/Hypomania, Discontinuation Syndrome, Seizure, Hyponatremia, Interstitial Lung Disease, Eosinophilic Pneumonia, Nausea, Dizziness, Insomnia, Hyperhidrosis, Constipation, Somnolence, Decreased Appetite, Anxiety, Male Sexual Function Disorders, Dry Mouth, Vomiting, Fatigue, Chills, Vision Blurred, Mydriasis, Vertigo, Tinnitus, Dysgeusia, Hot Flush, Anorgasmia, Libido Decreased, Orgasm Abnormal, Ejaculation Delayed, Erectile Dysfunction, Ejaculation Disorder, Ejaculation Failure, Sexual Dysfunction, Asthenia, Weight Increased, Liver Function Test Abnormal, Blood Prolactin Increased, Musculoskeletal Stiffness, Syncope, Convulsion, Dystonia, Depersonalization, Bruxism, Urinary Retention, Rash, Alopecia, Photosensitivity Reaction, Angioedema, Myocardial Ischemia, Myocardial Infarction, Coronary Occlusion, Tachycardia, Proteinuria, Yawning, Disturbance in Attention, Feeling Jittery, Nervousness, Abnormal Dreams."
PRISTIQ,boxed warnings,"suicidal thoughts, behaviors, antidepressant use"
PRISTIQ,warnings and precautions,"There are several adverse drug events mentioned in the drug label excerpt. Here are the terms:

- Suicidal ideation
- Serotonin syndrome
- Elevated blood pressure
- Abnormal bleeding
- Angle closure glaucoma
- Activation of mania/hypomania
- Discontinuation syndrome
- Seizure
- Hyponatremia
- Interstitial lung disease and eosinophilic pneumonia"
STRIBILD,adverse reactions,"Lactic Acidosis, Severe Hepatomegaly with Steatosis, Severe Acute Exacerbations of Hepatitis B, New Onset or Worsening Renal Impairment, Bone Effects of Tenofovir DF, Immune Reconstitution Syndrome, nausea, diarrhea, ocular icterus, flatulence, fatigue, jaundice, somnolence, headache, dizziness, insomnia, abnormal dreams, rash, suicidal ideation, suicide attempt, depression, abdominal pain, dyspepsia, vomiting, fever, pain, nasopharyngitis, pneumonia, sinusitis, upper respiratory tract infection, arthralgia, back pain, myalgia, paresthesia, peripheral neuropathy, anxiety, increased cough, rhinitis, proteinuria, asthenia, dyspnea, pancreatitis, increased amylase, increased liver enzymes (most commonly AST, ALT gamma GT), rhabdomyolysis, osteomalacia, muscular weakness, myopathy, acute renal failure, renal failure, acute tubular necrosis, Fanconi syndrome, interstitial nephritis, nephrogenic diabetes insipidus, renal insufficiency, increased creatinine, polyuria."
STRIBILD,boxed warnings,"Lactic acidosis, severe hepatomegaly with steatosis, acute exacerbation of hepatitis B"
STRIBILD,warnings and precautions,"renal impairment, acute renal failure, Fanconi syndrome, lactic acidosis, severe hepatomegaly, steatosis, bone mineral density, osteoporosis, bone loss, body fat redistribution, immune reconstitution syndrome"
NULOJIX,adverse reactions,"The adverse drug event terms in the text are:

- PTLD
- CNS PTLD
- malignancies
- serious infections
- JC virus-associated PML
- polyoma virus nephropathy
- anemia
- diarrhea
- urinary tract infection
- peripheral edema
- constipation
- hypertension
- pyrexia
- graft dysfunction
- cough
- nausea
- vomiting
- headache
- hypokalemia
- hyperkalemia
- leukopenia
- cytomegalovirus infection
- complications of transplanted kidney
- progressive multifocal leukoencephalopathy
- fungal infections
- cryptococcal meningitis
- infusion reactions
- proteinuria
- new-onset diabetes after transplantation
- dyslipidemia
- Guillain-Barre syndrome
- stomatitis
- chronic allograft nephropathy
- neutropenia
- renal impairment

These terms are summarized as a comma-separated list."
NULOJIX,boxed warnings,"post-transplant lymphoproliferative disorder, other malignancies, serious infections, immunosuppression"
NULOJIX,warnings and precautions,"post-transplant lymphoproliferative disorder, PTLD, malignancies, progressive multifocal leukoencephalopathy, PML, serious infections, opportunistic infections, polyoma virus-associated nephropathy"
LUMIZYME,adverse reactions,"anaphylaxis, rash, pyrexia, flushing/feeling hot, urticaria, headache, hyperhidrosis, nausea, cough, decreased oxygen saturation, tachycardia, tachypnea, chest discomfort, dizziness, muscle twitching, agitation, cyanosis, erythema, hypertension/increased blood pressure, pallor, rigors, tremor, vomiting, fatigue, myalgia, angioedema, throat tightness, acute cardiorespiratory failure, livedo reticularis, irritability, retching, increased lacrimation, ventricular extrasystoles, nodal rhythm, rales, respiratory tract irritation, cold sweat, hyperhidrosis, paresthesia, local swelling, pruritus, throat tightness, edema, muscle spasm, conjunctivitis, proteinuria, nephrotic syndrome, membranous glomerulonephritis, necrotizing skin lesions"
LUMIZYME,boxed warnings,"anaphylaxis, hypersensitivity reactions, immune-mediated reactions, cardiorespiratory failure, respiratory distress, hypoxia, apnea, dyspnea, bradycardia, tachycardia, bronchospasm, throat tightness, hypotension, angioedema, urticaria, proteinuria, nephrotic syndrome, necrotizing skin lesions, fluid overload"
LUMIZYME,warnings and precautions,"anaphylaxis, hypersensitivity reactions, immune-mediated reactions, acute cardiorespiratory failure, cardiac arrhythmia, sudden cardiac death, antibody development"
EOVIST,adverse reactions,"Nephrogenic systemic fibrosis, Hypersensitivity reactions, Nausea, Headache, Feeling hot, Dizziness, Back pain, Vomiting, Blood pressure increased, Injection site reactions, Dysgeusia, Paresthesia, Flushing, Parosmia, Pruritus, Rash, Respiratory disorders, Fatigue, Chest pain, Vertigo, Dry mouth, Chills, Feeling abnormal, Tremor, Akathisia, Bundle branch block, Palpitation, Oral discomfort, Salivary hypersecretion, Maculopapular rash, Hyperhidrosis, Discomfort, Malaise, Tachycardia, Restlessness"
EOVIST,boxed warnings,"Nephrogenic Systemic Fibrosis, NSF, chronic kidney disease, acute kidney injury, impaired elimination, glomerular filtration rate, GFR, gadolinium-based contrast agents."
EOVIST,warnings and precautions,"Nephrogenic Systemic Fibrosis, Hypersensitivity, anaphylactoid reactions, hypersensitivity reactions, cardiovascular manifestations, respiratory manifestations, cutaneous manifestations, shock, Acute Kidney Injury, Extravasation, Injection Site Reactions, Interference with Laboratory Tests, Interference with Visualization of Liver Lesions"
BELEODAQ,adverse reactions,"Hematologic Toxicity, Infection, Hepatotoxicity, Tumor Lysis Syndrome, Gastrointestinal Toxicity, nausea, fatigue, pyrexia, anemia, vomiting, diarrhea, dyspnea, rash, peripheral edema, cough, thrombocytopenia, pruritus, chills, increased blood lactate dehydrogenase, decreased appetite, headache, infusion site pain, hypokalemia, prolonged QT, abdominal pain, hypotension, phlebitis, dizziness, pneumonia, infection, increased creatinine, multi-organ failure, febrile neutropenia"
BELEODAQ,warnings and precautions,"thrombocytopenia, leukopenia, neutropenia, lymphopenia, anemia, infection, hepatotoxicity, tumor lysis syndrome, embryo-fetal toxicity"
VICTRELIS,adverse reactions,"anemia, nausea, headache, dysgeusia, fatigue, neutropenia, pancytopenia, hypersensitivity, chills, asthenia, alopecia, dry skin, rash, insomnia, irritability, dyspnea, stomatitis, pneumonia, sepsis, angioedema, urticaria"
VICTRELIS,warnings and precautions,"Embryofetal Toxicity, Anemia, Neutropenia, Hypersensitivity"
VIMIZIM,adverse reactions,"anaphylaxis, hypersensitivity reactions, pyrexia, vomiting, headache, nausea, abdominal pain, chills, fatigue, anti-drug antibodies, neutralizing antibodies"
VIMIZIM,boxed warnings,"anaphylaxis, cough, erythema, throat tightness, urticaria, flushing, cyanosis, hypotension, rash, dyspnea, chest discomfort, gastrointestinal symptoms, nausea, abdominal pain, retching, vomiting, acute respiratory illness, hypersensitivity reactions"
VIMIZIM,warnings and precautions,"Anaphylaxis, hypersensitivity reactions, acute respiratory complications"
SIRTURO,adverse reactions,"mortality, QT prolongation, hepatotoxicity, drug interactions, nausea, arthralgia, headache, hemoptysis, chest pain, anorexia, transaminases increased, rash, blood amylase increased, aminotransferase elevations, increased mortality"
SIRTURO,boxed warnings,"increased mortality, QT prolongation"
SIRTURO,warnings and precautions,"QT prolongation, ventricular arrhythmia, Hepatotoxicity, liver injury, Mortality, Torsade de Pointes, long QT syndrome, hypothyroidism, bradyarrhythmias, heart failure, bedaquiline, aminotransferase elevations, CYP3A4 inducers/inhibitors"
NEURACEQ,adverse reactions,"erythema, irritation, pain"
NEURACEQ,warnings and precautions,"Image interpretation errors, false positives, long-term cumulative radiation exposure, unintentional radiation exposure, risk for image misinterpretation and other errors, errors, severe brain atrophy, motion artifacts, radiation risk, cumulative radiation exposure, increased risk of cancer, unintentional radiation exposure"
COMETRIQ,adverse reactions,"Perforations, Fistula, Hemorrhage, Thromboembolic Events, Wound Complications, Hypertension, Osteonecrosis of the Jaw, Palmar-plantar erythrodysesthesia syndrome, Proteinuria, Reversible Posterior Leukoencephalopathy Syndrome, diarrhea, stomatitis, palmar-plantar erythrodysesthesia syndrome (PPES), decreased weight, decreased appetite, nausea, fatigue, oral pain, hair color changes, dysgeusia, hypertension, abdominal pain, constipation, increased AST, increased ALT, lymphopenia, increased alkaline phosphatase, hypocalcemia, neutropenia, thrombocytopenia, hypophosphatemia, hyperbilirubinemia, increased lipase, pancreatitis, tracheal fistula formation, vomiting, thyroid stimulating hormone (TSH), dehydration."
COMETRIQ,boxed warnings,"perforations, fistulas, hemorrhage, hemoptysis, gastrointestinal hemorrhage"
COMETRIQ,warnings and precautions,"Thrombotic Events, Wound Complications, Hypertension, Osteonecrosis of the Jaw, Palmar-plantar Erythrodysesthesia syndrome (PPES), Proteinuria, Reversible posterior leukoencephalopathy syndrome (RPLS), Embryo-fetal Toxicity, Perforations, Fistulas, Hemorrhage, Drug Interactions, Hepatic Impairment"
AFINITOR,adverse reactions,"Non-infectious pneumonitis, infections, angioedema, oral ulceration, renal failure, impaired wound healing, stomatitis, rash, fatigue, diarrhea, edema, abdominal pain, nausea, fever, asthenia, cough, headache, decreased appetite, hyperglycemia, dyspnea, pneumonia, hypercholesterolemia, increased aspartate transaminase (AST), anemia, leukopenia, thrombocytopenia, lymphopenia, increased alanine transaminase (ALT), hypertriglyceridemia, lymphopenia, decreased potassium, thrombotic events, acute respiratory failure, sepsis, acute renal failure, gastrointestinal disorders, vomiting, constipation, dry mouth, weight decreased, arthralgia, back pain, pain in extremity, dysgeusia, insomnia, dry skin, hot flush, irregular menstruation, decreased appetite, diabetes mellitus, exacerbation of pre-existing diabetes mellitus, renal failure, chest pain, chills, impaired wound healing, pharyngolaryngeal pain, rhinorrhea, pleural effusion, pulmonary embolism, hypertension, nail disorders, hot flush, pancreatitis, cholecystitis, cholelithiasis, arterial thrombotic events, reflex sympathetic dystrophy."
AFINITOR,warnings and precautions,"Non-infectious pneumonitis, Infections, Angioedema, Oral ulceration, Renal failure, Impaired wound healing, Laboratory test alterations, Vaccinations, Embryo-fetal toxicity"
BREO,adverse reactions,"The adverse drug event terms in the provided drug label excerpt are:

- Asthma-related death
- Asthma-related hospitalization
- Candida albicans infection
- Pneumonia
- Immunosuppression
- Hypercorticism
- Adrenal suppression
- Reduction in bone mineral density
- Nasopharyngitis
- Upper respiratory tract infection
- Headache
- Oral candidiasis
- Influenza
- Bronchitis
- Sinusitis
- Oropharyngeal pain
- Dysphonia
- Cough
- Back pain
- Viral respiratory tract infection
- Pharyngitis
- Pyrexia
- Arthralgia
- Supraventricular extrasystoles
- Ventricular extrasystoles
- Acute sinusitis
- Palpitations
- Tachycardia
- Hypersensitivity reactions
- Anaphylaxis
- Angioedema
- Rash
- Urticaria
- Muscle spasms
- Tremor
- Nervousness"
BREO,boxed warnings,"asthma-related death, LABA, vilanterol, salmeterol, inhaled corticosteroids, ICS, asthma-related hospitalization"
BREO,warnings and precautions,"LabA, asthma-related death, asthma-related hospitalizations, deteriorating COPD, acute symptoms, overdose, candida albicans infection, pneumonia, infections (tuberculosis, fungal, bacterial, viral, parasitic infections, ocular herpes simplex), impaired adrenal function, hypercorticism, adrenal suppression, paradoxical bronchospasm, cardiovascular disorders, decrease in bone mineral density, glaucoma, cataracts, convulsive disorders, thyrotoxicosis, diabetes mellitus, ketoacidosis, hypokalemia, hyperglycemia, adrenal insufficiency, hypersensitivity reactions, anaphylaxis, cardiovascular effects, reduction in bone mineral density, effect on growth."
FIRAZYR,adverse reactions,"injection site reactions, pyrexia, transaminase increase, dizziness, rash, nausea, headache"
FIRAZYR,warnings and precautions,"laryngeal attacks, airway obstruction, medical attention"
INVOKANA,adverse reactions,"Hypotension, Impairment in Renal Function, Hyperkalemia, Hypoglycemia, Genital Mycotic Infections, Hypersensitivity Reactions, Bone Fracture, Increases in Low-Density Lipoprotein (LDL-C), Urinary tract infections, Increased urination, Male genital mycotic infections, Vulvovaginal pruritus, Thirst, Constipation, Nausea, Abdominal pain, Fatigue, Loss of strength or energy, Pancreatitis, Volume Depletion-Related Adverse Reactions, Falls, Increases in Serum Potassium, Increases in Serum Magnesium, Increases in Serum Phosphate, Increases in Low-Density Lipoprotein Cholesterol (LDL-C) and non-High-Density Lipoprotein Cholesterol (non-HDL-C), Increases in Hemoglobin, Decreases in Bone Mineral Density."
