drug_name,section_name,subsection_name,gpt4_output
MULTAQ,adverse reactions,Table 2: Laboratory data/ECG parameters not necessarily reported as adverse events Placebo MULTAQ 400 mg twice daily (N=2875) (N=3282) Early increases in creatinine >=10% 21% 51% (N=2237) (N=2701) QTc prolonged 19% 28% Assessment of demographic factors such as gender or age on the incidence of treatment-emergent adverse events did not suggest an excess of adverse events in any particular sub-group.,"As the input provided is ""nan"", which commonly stands for ""not applicable"" or ""not available,"" there is no actual text from a drug label to extract adverse drug event terms from. Therefore, I cannot provide a list of terms without a proper excerpt of a drug label. Please provide the relevant text for analysis."
MULTAQ,adverse reactions,6.2 Postmarketing Experience,"new or worsening heart failure, atrial flutter with 1:1 atrioventricular conduction, liver injury, interstitial lung disease, pneumonitis, pulmonary fibrosis, anaphylactic reactions, angioedema, vasculitis, leukocytoclastic vasculitis"
MULTAQ,boxed warnings,"BOXED WARNING: WARNING: INCREASED RISK OF DEATH, STROKE AND HEART FAILURE IN PATIENTS WITH DECOMPENSATED HEART FAILURE OR PERMANENT ATRIAL FIBRILLATION","If the input provided is ""nan"" which typically stands for ""not a number"" or indicates that no actual text was provided, then no adverse drug event terms can be extracted. If this was a mistake and you have an excerpt to analyze, please provide the actual text."
MULTAQ,boxed warnings,"WARNING: INCREASED RISK OF DEATH, STROKE AND HEART FAILURE IN PATIENTS WITH DECOMPENSATED HEART FAILURE OR PERMANENT ATRIAL FIBRILLATION","death, stroke, hospitalization for heart failure"
MULTAQ,boxed warnings,"EXCERPT: WARNING: INCREASED RISK OF DEATH, STROKE AND HEART FAILURE IN PATIENTS WITH DECOMPENSATED HEART FAILURE OR PERMANENT ATRIAL FIBRILLATION","symptomatic heart failure, decompensation, hospitalization, death, stroke"
MULTAQ,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"AF, liver injury, pulmonary toxicity, hypokalemia, hypomagnesemia, renal impairment, teratogen"
MULTAQ,warnings and precautions,5.1 Cardiovascular Death in NYHA Class IV or Decompensated Heart Failure,"NYHA Class IV heart failure, symptomatic heart failure, recent decompensation, requiring hospitalization, risk of death"
MULTAQ,warnings and precautions,5.2 Cardiovascular Death and Heart Failure in Permanent AF,"cardiovascular death, arrhythmic, heart failure events, permanent AF"
MULTAQ,warnings and precautions,5.3 Increased Risk of Stroke in Permanent AF,stroke
MULTAQ,warnings and precautions,5.4 New Onset or Worsening Heart Failure,"new onset of heart failure, worsening of heart failure, increased rates of heart failure, weight gain, dependent edema, increasing shortness of breath"
MULTAQ,warnings and precautions,5.5 Liver Injury,"Hepatocellular liver injury, acute liver failure, anorexia, nausea, vomiting, fever, malaise, fatigue, right upper quadrant pain, jaundice, dark urine, itching, severe liver injury, interstitial lung disease, pneumonitis, pulmonary fibrosis, dyspnea, non-productive cough, pulmonary toxicity"
MULTAQ,warnings and precautions,5.7 Hypokalemia and Hypomagnesemia with Potassium-Depleting Diuretics,"hypokalemia, hypomagnesemia"
MULTAQ,warnings and precautions,5.8 QT Interval Prolongation,"moderate QTc (Bazett) prolongation, QTc Bazett interval >=500 ms"
MULTAQ,warnings and precautions,5.9 Renal Impairment and Failure,"Marked increase in serum creatinine, pre-renal azotemia, acute renal failure, heart failure, hypovolemia"
MULTAQ,warnings and precautions,5.10 Women of Childbearing Potential,"fetal harm, effective contraception"
TANZEUM,adverse reactions,6 ADVERSE REACTIONS,"Thyroid C-cell Tumors, Acute Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, upper respiratory tract infection, diarrhea, nausea, injection site reaction, cough, back pain, arthralgia, sinusitis, influenza"
TANZEUM,adverse reactions,6.1 Clinical Trials Experience,"peripheral neuropathy, retinopathy"
TANZEUM,adverse reactions,"Table 1 shows common adverse reactions excluding hypoglycemia associated with the use of TANZEUM in the pool of placebo-controlled trials. These adverse reactions were not present at baseline, occurred more commonly on TANZEUM than on placebo, and occurred in at least 5% of patients treated with TANZEUM.","If the input is ""nan,"" which can mean ""not a number,"" and indicates that no text information was provided from a drug label, then there's no excerpt to analyze, and thus, there are no adverse drug event terms to extract or list."
TANZEUM,adverse reactions,Table 1. Adverse Reactions in Placebo-controlled Trials Reported in >=5% of Patients Treated with TANZEUM a,"upper respiratory tract infection, diarrhea, nausea, injection site reaction, cough, back pain, arthralgia, sinusitis, influenza, vomiting, gastroesophageal reflux disease, dyspepsia, constipation, injection site hematoma, injection site erythema, injection site rash, injection site hypersensitivity, injection site hemorrhage, injection site pruritus, hypoglycemia"
TANZEUM,adverse reactions,Table 2. Incidence (%) of Hypoglycemia in Clinical Trials of TANZEUM a,"Documented symptomatic, Severe, Pneumonia, Atrial Fibrillation, Atrial Flutter, Appendicitis, Immunogenicity, Liver Enzyme Abnormalities, Alanine aminotransferase (ALT) increase, Gamma Glutamyltransferase (GGT) Increase, Heart Rate Increase"
TANZEUM,boxed warnings,BOXED WARNING: WARNING: RISK OF THYROID C-CELL TUMORS,"If the input is ""nan"", then there are no adverse drug event terms provided to extract. Since ""nan"" typically denotes ""not a number"" or a missing value, I cannot produce a comma-separated list of adverse drug event terms without the actual text of a drug label. If you provide the excerpt, I would be able to assist you."
TANZEUM,boxed warnings,WARNING: RISK OF THYROID C-CELL TUMORS,"thyroid C-cell tumors, medullary thyroid carcinoma (MTC), Multiple Endocrine Neoplasia syndrome type 2 (MEN 2), mass in the neck, dysphagia, dyspnea, persistent hoarseness"
TANZEUM,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Thyroid C-cell Tumors, Pancreatitis, Hypoglycemia, Hypersensitivity Reactions, Renal Impairment, Macrovascular Outcomes"
TANZEUM,warnings and precautions,5.2 Acute Pancreatitis,"acute pancreatitis, severe abdominal pain, vomiting"
TANZEUM,warnings and precautions,5.3 Hypoglycemia with Concomitant Use of Insulin Secretagogues or Insulin,hypoglycemia
TANZEUM,warnings and precautions,5.4 Hypersensitivity Reactions,"serious hypersensitivity reaction, pruritus, rash, dyspnea"
TANZEUM,warnings and precautions,5.5 Renal Impairment,"acute renal failure, worsening of chronic renal failure, hemodialysis, nausea, vomiting, diarrhea, dehydration"
TANZEUM,warnings and precautions,5.6 Macrovascular Outcomes,"There are no adverse drug event terms in the provided text excerpt. The text discusses the absence of evidence for macrovascular risk reduction with TANZEUM or any other antidiabetic drug, but it does not mention any adverse events."
BELEODAQ,adverse reactions,6 ADVERSE REACTIONS,"Hematologic Toxicity, Infection, Hepatotoxicity, Tumor Lysis Syndrome, Gastrointestinal Toxicity, nausea, fatigue, pyrexia, anemia, vomiting"
BELEODAQ,adverse reactions,6.1 Clinical Trials Experience,"adverse reaction rates, Adverse Reactions, safety, relapsed, refractory PTCL, adverse drug event"
BELEODAQ,adverse reactions,Table 2 summarizes the adverse reactions regardless of causality from the trial in patients with relapsed or refractory PTCL.,"Since you have mentioned that the input is ""nan"" which stands for ""not a number"" and typically indicates that there is no data provided, it is not possible to extract any adverse drug event terms because there is no text or drug label provided to analyze. If you have an excerpt you'd like reviewed, please provide the text."
BELEODAQ,adverse reactions,"Table 2: Adverse Reactions Occurring in >= 10% of Patients by Preferred Term and Severity in Patients with Relapsed or Refractory PTCL (NCI-CTC Grade 1-4) MedDRA Preferred Term Percentage of Patients (%) (N=129) All Grades Grade 3 or 4 All Adverse Reactions 97 61 Nausea 42 1 Fatigue 37 5 Pyrexia 35 2 Anemia 32 11 Vomiting 29 1 Constipation 23 1 Diarrhea 23 2 Dyspnea 22 6 Rash 20 1 Peripheral Edema 20 0 Cough 19 0 Thrombocytopenia 16 7 Pruritus 16 3 Chills 16 1 Increased Blood Lactate Dehydrogenase 16 2 Decreased Appetite 15 2 Headache 15 0 Infusion Site Pain 14 0 Hypokalemia 12 4 Prolonged QT 11 4 Abdominal pain 11 1 Hypotension 10 3 Phlebitis 10 1 Dizziness 10 0 Note: Adverse reactions are listed by order of incidence in the ""All Grades"" category first, then by incidence in ""the Grade 3 or 4"" category; MedDRA = Medical Dictionary for Regulatory Activities; Severity measured by National Cancer Institute Common Terminology Criteria for Adverse Events (NCI-CTCAE) version 3.0","pneumonia, pyrexia, infection, anemia, increased creatinine, thrombocytopenia, multi-organ failure, hepatic failure, tumor lysis syndrome, ventricular fibrillation, QTc prolongation, febrile neutropenia, fatigue"
BELEODAQ,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Thrombocytopenia, leukopenia, neutropenia, lymphopenia, anemia, infection, pneumonia, sepsis, hepatotoxicity, liver function test abnormalities, Tumor lysis syndrome, Embryo-fetal toxicity"
BELEODAQ,warnings and precautions,5.1 Hematologic Toxicity,"thrombocytopenia, leukopenia, neutropenia, lymphopenia, anemia"
BELEODAQ,warnings and precautions,5.2 Infections,"serious and sometimes fatal infections, pneumonia, sepsis, active infection, life threatening infections"
BELEODAQ,warnings and precautions,5.3 Hepatotoxicity,"fatal hepatotoxicity, liver function test abnormalities, hepatic toxicity"
BELEODAQ,warnings and precautions,5.4 Tumor Lysis Syndrome,Tumor lysis syndrome
BELEODAQ,warnings and precautions,5.5 Gastrointestinal Toxicity,"Nausea, vomiting, diarrhea"
BELEODAQ,warnings and precautions,5.6 Embryo-fetal Toxicity,"fetal harm, teratogenicity, embryo-fetal lethality, genotoxicity"
HALAVEN,adverse reactions,6 ADVERSE REACTIONS,"neutropenia, anemia, asthenia/fatigue, alopecia, peripheral neuropathy, nausea, constipation"
HALAVEN,adverse reactions,6.1 Clinical Trials Experience,"neutropenia, anemia, asthenia/fatigue, alopecia, peripheral neuropathy, nausea, constipation, febrile neutropenia, QT interval prolongation"
HALAVEN,adverse reactions,"Table 2 Adverse Reactions with a Per-Patient Incidence of at Least 10% in Study 1 MedDRA ver 10.0 HALAVEN n=503 Control Group n=247 All Grades >= Grade 3 All Grades >= Grade 3 Blood and Lymphatic System Disorders a Neutropenia 82% 57% 53% 23% Anemia 58% 2% 55% 4% Nervous system disorders Peripheral neuropathy b 35% 8% 16% 2% Headache 19% <1% 12% <1% General disorders and administrative site conditions Asthenia/Fatigue 54% 10% 40% 11% Mucosal inflammation 9% 1% 10% 2% Pyrexia 21% <1% 13% <1% Gastrointestinal disorders Constipation 25% 1% 21% 1% Diarrhea 18% 0 18% 0 Nausea 35% 1% 28% 3% Vomiting 18% 1% 18% 1% Musculoskeletal and connective tissue disorders Arthralgia/Myalgia 22% <1% 12% 1% Back pain 16% 1% 7% 2% Bone pain 12% 2% 9% 2% Pain in extremity 11% 1% 10% 1% Investigations Weight decreased 21% 1% 14% <1% Metabolism and nutrition disorders Anorexia 20% 1% 13% 1% Respiratory, thoracic, and mediastinal disorders Cough 14% 0 9% 0 Dyspnea 16% 4% 13% 4% Skin and subcutaneous tissue disorders Alopecia 45% NA c 10% NA c Infections and Infestations Urinary Tract Infection 10% 1% 5% 0 a. based upon laboratory data. b includes neuropathy peripheral, neuropathy, peripheral motor neuropathy, polyneuropathy, peripheral sensoryneuropathy, and paraesthesia. c not applicable; (grading system does not specify > Grade 2 for alopecia). Cytopenias: Grade 3 neutropenia occurred in 28% (143/503) of patients who received HALAVEN in Study 1, and 29% (144/503) of patients experienced Grade 4 neutropenia. Febrile neutropenia occurred in 5% (23/503) of patients; two patients (0.4%) died from complications of febrile neutropenia. Dose reduction due to neutropenia was required in 12% (62/503) of patients and discontinuation was required in <1% of patients. The mean time to nadir was 13 days and the mean time to recovery from severe neutropenia (<500/mm 3 ) was 8 days. Grade 3 or greater thrombocytopenia occurred in 1% (7/503) of patients. G-CSF (granulocyte colony-stimulating factor) or GM-CSF (granulocyte-macrophage colony-stimulating factor) was used in 19% of patients who received HALAVEN.","peripheral neuropathy, Grade 1 peripheral neuropathy, Grade 2 peripheral neuropathy, peripheral motor neuropathy, Grade 3 peripheral motor neuropathy, Liver Function Test Abnormalities, ALT elevation, increased lacrimation, dyspepsia, abdominal pain, stomatitis, dry mouth, peripheral edema, upper respiratory tract infection, hypokalemia, muscle spasms, muscular weakness, dysgeusia, dizziness, insomnia, depression, rash, lymphopenia, pancreatitis, hepatotoxicity, drug hypersensitivity, pneumonia, sepsis/neutropenic sepsis, hypomagnesemia, dehydration, interstitial lung disease, pruritus"
HALAVEN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Neutropenia, Peripheral Neuropathy, Embryo-Fetal Toxicity, QT Prolongation"
HALAVEN,warnings and precautions,5.1 Neutropenia,"Severe neutropenia, Grade 4 neutropenia, febrile neutropenia, Grade 3 cytopenias."
HALAVEN,warnings and precautions,5.2 Peripheral Neuropathy,"Grade 3 peripheral neuropathy, Grade 4 peripheral neuropathy, Peripheral neuropathy, Neuropathy lasting more than one year, new or worsening neuropathy, signs of peripheral motor and sensory neuropathy"
HALAVEN,warnings and precautions,5.3 Embryo-Fetal Toxicity,"fetal harm, embryo-fetal toxicity, teratogenicity"
HALAVEN,warnings and precautions,5.4 QT Prolongation,"QT prolongation, congestive heart failure, bradyarrhythmias, hypokalemia, hypomagnesemia"
XIAFLEX,adverse reactions,6 ADVERSE REACTIONS,"tendon ruptures, serious injury to the injected extremity, corporal rupture, penile fracture, severe penile hematoma, penile ecchymoses, sudden penile detumescence, penile ""popping"" sound or sensation, edema peripheral, contusion, injection site hemorrhage, injection site reaction, pain in the injected extremity, penile swelling, penile pain"
XIAFLEX,adverse reactions,6.1 Clinical Studies Experience in Patients with Dupuytren's Contracture,"flexor tendon rupture, pruritus, edema peripheral, contusion, injection site hemorrhage, injection site reaction, pain in the treated extremity"
XIAFLEX,adverse reactions,"Table 3. Adverse Reactions Occurring in >= 5% of XIAFLEX-Treated Patients with Dupuytren's Contracture and at a Greater Incidence than Placebo in the Placebo-Controlled Trials Through Day 90 After Up to 3 Injections a Most of these events were swelling of the injected hand. b Includes the terms: contusion (any body system) and ecchymosis c Includes the terms: injection site reaction, injection site erythema, injection site inflammation, injection site irritation, injection site pain, and injection site warmth d Includes the terms: injection site swelling and injection site edema e Includes the terms: pruritus and injection site pruritus f Includes the terms: lymphadenopathy and axillary mass Adverse Reaction XIAFLEXN=249 PlaceboN=125 All Adverse Reactions 98% 51% Edema Peripheral a 73% 5% Contusion b 70% 3% Injection Site Hemorrhage 38% 3% Injection Site Reaction c 35% 6% Pain in Extremity 35% 4% Tenderness 24% 0% Injection Site Swelling d 24% 6% Pruritus e 15% 1% Lymphadenopathy f 13% 0% Skin Laceration 9% 0% Lymph Node Pain 8% 0% Erythema 6% 0% Axillary Pain 6% 0% Some patients developed vasovagal syncope after finger extension procedures.",tendon rupture
XIAFLEX,adverse reactions,Table 4 shows the incidence of adverse reactions that were reported in greater than or equal to 5% of XIAFLEX-treated patients after two concurrent injections of XIAFLEX in the same hand through Day 60 in Study 3.,"To perform the task, I would need an actual excerpt from a drug label that contains information about adverse drug events. Since you've indicated that the input is ""nan"" (not a number), which usually signifies missing data or a placeholder for ""not applicable"" or ""none,"" it's not possible to provide a list of adverse drug event terms without a proper excerpt to work from. If you can provide the text from a drug label with details on adverse drug events, I'd be able to assist you better."
XIAFLEX,adverse reactions,Table 4. Adverse Reactions Occurring in >=5.0% of Subjects Who Received Two Concurrent Injections of XIAFLEX in Study 3 Adverse Reaction XIAFLEXN=715 Subjects with >=1 adverse reaction 95% Edema peripheral 77% Contusion 59% Pain in extremity 51% Laceration 22% Pruritus 15% Injection site pain 14% Lymphadenopathy 13% Blood blister 12% Injection site hematoma 8% Axillary pain 7% Injection site hemorrhage 6% Injection site swelling 5% Ecchymosis 5% Safety of Retreatment of Recurrent Contractures,No adverse drug event terms mentioned.
XIAFLEX,adverse reactions,6.2 Clinical Studies Experience in Patients with Peyronie's Disease,"Corporal Rupture, Serious Penile Injury, penile ecchymoses, hematoma, sudden penile detumescence, penile ""popping"" sound, Severe penile hematoma, adverse reactions, penile swelling, penile pain"
XIAFLEX,adverse reactions,"Table 5. Adverse Reactions Occurring in >= 1% of XIAFLEX-Treated Patients with Peyronie's disease and at a Greater Incidence than Placebo After Up to Four Treatment Cycles in Studies 1 and 2 Combined a Includes: injection site hematoma and penile hematoma were reported with the verbatim term of penile bruising or injection site bruising in 87% of subjects. b Includes: injection site swelling, penile edema, penile swelling, local swelling, scrotal swelling, and injection site edema. c Includes: injection site pain, penile pain, and injection site discomfort. d Includes: contusion, ecchymoses, penile hemorrhage, and injection site hemorrhage. Adverse Reaction XIAFLEXN=551 PlaceboN=281 All Adverse Reactions 84.2% 36.3% Penile hematoma a 65.5% 19.2% Penile swelling b 55.0% 3.2% Penile pain c 45.4% 9.3% Penile ecchymoses d 14.5% 6.8% Blood blister 4.5% 0 Penile blister 3.3% 0 Pruritus genital 3.1% 0 Painful erection 2.9% 0 Erectile dysfunction 1.8% 0.4% Skin discoloration 1.8% 0 Procedural pain 1.6% 0.7% Injection site vesicles 1.3% 0 Localized edema 1.3% 0 Dyspareunia 1.1% 0 Injection site pruritus 1.1% 0 Nodule 1.1% 0 Suprapubic pain 1.1% 0 Severe penile hematoma or severe injection site hematoma were reported in 33/551 (6.0%) of XIAFLEX-treated patients and 0/281 (0%) of placebo-treated patients, in Studies 1 and 2 combined.","penile ""popping"" sounds, popping noise, popping sensation, snapping, cracking, detumescence, hematoma, pain"
XIAFLEX,adverse reactions,6.3 Immunogenicity,"Dupuytren's contracture, Peyronie's disease, immunogenicity, antibodies, high titers of antibodies, neutralizing antibodies, adverse reactions, cross-reactivity, inhibition of endogenous MMPs, immunogenicity assay results."
XIAFLEX,boxed warnings,BOXED WARNING: WARNING:,"If you provided an excerpt for evaluation, it seems it was mistakenly entered as ""nan"" (which commonly stands for ""not a number"" in many data processing contexts). To assist you in identifying adverse drug event terms, please provide the actual text excerpt from the drug label."
XIAFLEX,boxed warnings,CORPORAL RUPTURE (PENILE FRACTURE) OR,"The input provided (""nan"") doesn't contain any information. It looks like it might be a placeholder indicating a missing value or 'not applicable.' Without actual content from a drug label, I cannot provide a list of adverse drug event terms. If you have text from a drug label that you would like me to review, please submit that text, and I can help identify adverse drug event terms."
XIAFLEX,boxed warnings,OTHER SERIOUS PENILE INJURY IN THE TREATMENT OF PEYRONIE'S DISEASE,"If the input is ""nan"", which typically stands for ""not a number"" or indicates that there's no data available, it would not contain any text to extract adverse drug event terms from. Therefore, I cannot provide a list of adverse drug event terms."
XIAFLEX,boxed warnings,WARNING:,"If the input is ""nan"", which typically stands for ""not a number"" or is used to signify a lack of data, then there are no adverse drug event terms to extract. Therefore, I cannot provide a comma-separated list. If you provide an actual excerpt from a drug label, I could help identify the adverse drug event terms within it."
XIAFLEX,boxed warnings,CORPORAL RUPTURE (PENILE FRACTURE) OR,"If the input provided is ""nan,"" then there is no text excerpt to identify adverse drug event terms from. Therefore, I'm unable to generate a list of adverse drug event terms. If ""nan"" is a mistake, please provide the actual excerpt for analysis."
XIAFLEX,boxed warnings,OTHER SERIOUS PENILE INJURY IN THE TREATMENT OF PEYRONIE'S DISEASE,"Corporal rupture (penile fracture), penile ecchymoses, hematoma, sudden penile detumescence, penile ""popping"" sound or sensation, severe penile hematoma"
XIAFLEX,boxed warnings,EXCERPT: WARNING: CORPORAL RUPTURE (PENILE FRACTURE) OR OTHER SERIOUS PENILE INJURY IN THE TREATMENT OF PEYRONIE'S DISEASE,"Corporal rupture, penile fracture, severe penile hematoma"
XIAFLEX,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"tendon rupture, serious injury, permanent injury, ligament damage, skin laceration, corporal rupture (penile fracture), hypersensitivity reactions, anaphylaxis"
XIAFLEX,warnings and precautions,5.1 Tendon Rupture or Other Serious Injury to the Injected Finger/Hand in the Treatment of Dupuytren's Contracture,"flexor tendon ruptures, tendon rupture, ligament damage, pulley rupture, ligament injury, complex regional pain syndrome (CRPS), sensory abnormality of the hand, skin laceration"
XIAFLEX,warnings and precautions,5.2 Corporal Rupture (Penile Fracture) or Other Serious Injury to the Penis in the Treatment of Peyronie's Disease,
XIAFLEX,warnings and precautions,5.3 XIAFLEX REMS Program,"corporal rupture, penile fracture, serious penile injury"
XIAFLEX,warnings and precautions,"5.4 Hypersensitivity Reactions, Including Anaphylaxis","mild allergic reactions, pruritus, severe allergic reactions, Anaphylaxis, IgE-anti-drug antibodies"
XIAFLEX,warnings and precautions,5.5 Risk of bleeding in Patients with Abnormal Coagulation,"ecchymosis/contusion, injection site hemorrhage, penile hematoma, penile ecchymosis"
CIMZIA,adverse reactions,6 ADVERSE REACTIONS,"upper respiratory tract infection, rash, urinary tract infection"
CIMZIA,adverse reactions,6.1 Clinical Trials Experience,"serious infections, malignancies, heart failure, upper respiratory infections, rash, urinary tract infections, abdominal pain, diarrhea, intestinal obstruction, tuberculosis infections, pyrexia, urticaria, pneumonia, nasopharyngitis, laryngitis, viral infection, bladder infection, bacteriuria, cystitis, arthralgia, anemia, leukopenia, lymphadenopathy, pancytopenia, thrombophilia, angina pectoris, arrhythmias, atrial fibrillation, cardiac failure, hypertensive heart disease, myocardial infarction, myocardial ischemia, pericardial effusion, pericarditis, stroke, transient ischemic attack, optic neuritis, retinal hemorrhage, uveitis, bleeding, injection site reactions, elevated liver enzymes, hepatitis, alopecia totalis, anxiety, bipolar disorder, suicide attempt, nephrotic syndrome, renal failure, menstrual disorder, dermatitis, erythema nodosum, vasculitis, thrombophlebitis"
CIMZIA,adverse reactions,"Table 1 summarizes the reactions reported at a rate of at least 3% in patients treated with CIMZIA 200 mg every other week compared to placebo (saline formulation), given concomitantly with methotrexate.","There is no text provided here for analysis. You've mentioned ""The following is an excerpt of a drug label,"" but there is no excerpt included in your message. If you provide the drug label excerpt, I can then identify the adverse drug event terms for you. Without the actual text, I'm unable to perform the task. Please provide the excerpt for further assistance."
CIMZIA,adverse reactions,"Table 1: Adverse Reactions Reported by >=3% of Patients Treated with CIMZIA Dosed Every Other Week during Placebo-Controlled Period of Rheumatoid Arthritis Studies, with Concomitant Methotrexate. Adverse Reaction(Preferred Term) Placebo+ MTX(%)N =324 CIMZIA 200 mg EOW + MTX(%)N =640 Upper respiratory tract infection 2 6 Headache 4 5 Hypertension 2 5 Nasopharyngitis 1 5 Back pain 1 4 Pyrexia 2 3 Pharyngitis 1 3 Rash 1 3 Acute bronchitis 1 3 Fatigue 2 3 Hypertensive adverse reactions were observed more frequently in patients receiving CIMZIA than in controls. These adverse reactions occurred more frequently among patients with a baseline history of hypertension and among patients receiving concomitant corticosteroids and non-steroidal anti-inflammatory drugs.","upper respiratory infections, serious infections, bacterial infections, viral infections, pneumonia, pyelonephritis, upper respiratory tract infections, herpes infections, urinary tract infections, lower respiratory tract infections, tuberculosis, cellulitis, opportunistic infections, malignancies, heart failure, lupus-like syndrome, autoimmune diseases, abdominal pain, arthralgia, edema peripheral, erythema nodosum, injection site erythema, injection site pain, pain in extremity, hypersensitivity reactions, angioedema, dermatitis allergic, dizziness (postural), dyspnea, hot flush, hypotension, malaise, pyrexia, rash, serum sickness, syncope"
CIMZIA,adverse reactions,6.2 Postmarketing Experience,"systemic vasculitis, severe skin reactions, Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme, new or worsening psoriasis, pustular psoriasis, palmoplantar psoriasis, sarcoidosis"
CIMZIA,boxed warnings,BOXED WARNING: WARNING: SERIOUS INFECTIONS AND MALIGNANCY,"If the input provided is ""nan"" which seemingly stands for ""not applicable"" or ""not available"" and as such there is no excerpt to examine, then there can be no adverse drug event terms extracted. Therefore, I cannot provide a list of terms based on the input given."
CIMZIA,boxed warnings,WARNING: SERIOUS INFECTIONS AND MALIGNANCY,"The task is not possible to complete as the input provided is ""nan"" which presumably stands for ""not a number"" or indicates that there is no data provided. Without the actual excerpt of the drug label, I cannot identify any adverse drug event terms. If you can provide the excerpt, I would be happy to help identify the terms for you."
CIMZIA,boxed warnings,SERIOUS INFECTIONS,"serious infections, hospitalization, death, sepsis, Active tuberculosis, reactivation of latent tuberculosis, disseminated disease, extrapulmonary disease, Invasive fungal infections, histoplasmosis, coccidioidomycosis, candidiasis, aspergillosis, blastomycosis, pneumocystosis, disseminated disease, severe systemic illness, Bacterial infections, viral infections, infections due to opportunistic pathogens, Legionella, Listeria"
CIMZIA,boxed warnings,MALIGNANCY,"Lymphoma, malignancies, fatal"
CIMZIA,boxed warnings,EXCERPT: WARNING: SERIOUS INFECTIONS AND MALIGNANCY,"serious infections, hospitalization, death, tuberculosis (TB), bacterial sepsis, invasive fungal infections, histoplasmosis, infections due to other opportunistic pathogens, serious infection, sepsis, Lymphoma, other malignancies, fatal"
CIMZIA,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"serious infections, invasive fungal infections, lymphoma, malignancies, heart failure, anaphylaxis, serious allergic reactions, hepatitis B virus reactivation, demyelinating disease, cytopenias, pancytopenia, lupus-like syndrome"
CIMZIA,warnings and precautions,5.1 Risk of Serious Infections,"serious infections, hospitalization, death, Opportunistic infections, bacterial infections, mycobacterial infections, invasive fungal infections, viral infections, parasitic infections, aspergillosis, blastomycosis, candidiasis, coccidioidomycosis, histoplasmosis, legionellosis, listeriosis, pneumocystosis, tuberculosis, disseminated disease, localized infections, reactivation of tuberculosis, new tuberculosis infections, infection, sepsis, serious systemic illness, negative test for latent tuberculosis"
CIMZIA,warnings and precautions,5.2 Malignancies,"malignancies, non-melanoma skin cancer, fatal, lymphomas, Hodgkin's lymphoma, non-Hodgkin's lymphoma, immunosuppression, hepatosplenic T-cell lymphoma (HSTCL), acute leukemia, chronic leukemia, skin cancer"
CIMZIA,warnings and precautions,5.3 Heart Failure,"worsening congestive heart failure, new onset CHF, increased mortality due to CHF"
CIMZIA,warnings and precautions,5.4 Hypersensitivity Reactions,"angioedema, dyspnea, hypotension, rash, serum sickness, urticaria"
CIMZIA,warnings and precautions,5.5 Hepatitis B Virus Reactivation,"reactivation of hepatitis B virus, HBV reactivation, fatal"
CIMZIA,warnings and precautions,5.6 Neurologic Reactions,"new onset or exacerbation of clinical symptoms, radiographic evidence of central nervous system demyelinating disease, multiple sclerosis, peripheral demyelinating disease, Guillain-Barre syndrome, neurological disorders, seizure disorder, optic neuritis, peripheral neuropathy"
CIMZIA,warnings and precautions,5.7 Hematological Reactions,"pancytopenia, aplastic anemia, medically significant cytopenia, leukopenia, thrombocytopenia, blood dyscrasias"
CIMZIA,warnings and precautions,5.8 Use with Biological Disease-Modifying Antirheumatic Drugs (Biological DMARDs),"serious infections, adverse events"
CIMZIA,warnings and precautions,5.9 Autoimmunity,"autoantibodies, lupus-like syndrome"
CIMZIA,warnings and precautions,5.10 Immunizations,"secondary transmission of infection, lower humoral response"
CIMZIA,warnings and precautions,5.11 Immunosuppression,"infections, malignancies, immunosuppression"
GRANIX,adverse reactions,6 ADVERSE REACTIONS,"Splenic Rupture, Acute Respiratory Distress Syndrome, Serious Allergic Reactions, Capillary Leak Syndrome, Potential for Tumor Growth Stimulatory Effects on Malignant Cells, bone pain"
GRANIX,adverse reactions,6.1 Clinical Trials Experience,"bone pain, leukocytosis, myalgia, headache, vomiting, Sweet's syndrome, cutaneous vasculitis, thrombocytopenia"
GRANIX,adverse reactions,6.2 Immunogenicity,"immunogenicity, antibody development"
GRANIX,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Splenic Rupture, Acute Respiratory Distress Syndrome (ARDS), Allergic reactions, angioneurotic edema, dermatitis allergic, drug hypersensitivity, hypersensitivity, rash, pruritic rash, urticaria, Sickle cell crisis, Capillary Leak Syndrome"
GRANIX,warnings and precautions,5.1 Splenic Rupture,"Splenic rupture, fatal cases, upper abdominal pain, shoulder pain, enlarged spleen"
GRANIX,warnings and precautions,5.2 Acute Respiratory Distress Syndrome (ARDS),"Acute respiratory distress syndrome, fever, lung infiltrates, respiratory distress"
GRANIX,warnings and precautions,5.3 Allergic Reactions,"serious allergic reactions, anaphylaxis, severity of the reactions"
GRANIX,warnings and precautions,5.4 Use in Patients with Sickle Cell Disease,"severe, sometimes fatal, sickle cell crises, adverse drug event"
