drug_name,section_name,gpt4_output
LUMIZYME,boxed warnings,"Anaphylaxis, Hypersensitivity, Immune-mediated reactions, Cardiorespiratory failure, Respiratory distress, Hypoxia, Apnea, Dyspnea, Bradycardia, Tachycardia, Bronchospasm, Throat tightness, Hypotension, Angioedema, Tongue swelling, Lip swelling, Periorbital edema, Face edema, Urticaria, Proteinuria, Nephrotic syndrome, Necrotizing skin lesions, Fluid overload."
LUMIZYME,warnings and precautions,
EOVIST,adverse reactions,"Nephrogenic systemic fibrosis, Hypersensitivity reactions, nausea, headache, feeling hot, dizziness, back pain, vomiting, blood pressure increased, Injection site reactions, Dysgeusia, Paresthesia, Flushing, Parosmia, Pruritus, Rash, Respiratory disorders, Fatigue, Chest pain, Vertigo, Dry mouth, Chills, Feeling abnormal, tremor, akathisia, bundle branch block, palpitation, oral discomfort, salivary hypersecretion, maculopapular rash, hyperhidrosis, discomfort, malaise, Elevation of serum iron values, Elevation of serum bilirubin values, Hypersensitivity reactions, anaphylactic shock, hypotension, pharyngolaryngeal edema, urticaria, face edema, rhinitis, conjunctivitis, abdominal pain, hypoesthesia, sneezing, cough, pallor, Tachycardia, Restlessness"
EOVIST,boxed warnings,"Nephrogenic Systemic Fibrosis (NSF), fatal or debilitating fibrosis affecting the skin, muscle and internal organs, Chronic, severe kidney disease, Acute kidney injury, reduced renal function, chronically reduced renal function"
EOVIST,warnings and precautions,"Nephrogenic Systemic Fibrosis, Hypersensitivity: anaphylactoid/hypersensitivity reactions, cardiovascular manifestations, respiratory manifestations, cutaneous manifestations, severe reactions including shock, acute kidney injury, debilitating fibrosis, fatal fibrosis, drug-induced kidney toxicity, Anaphylactic reactions, Acute Kidney Injury, Extravasation into tissues, local tissue reactions, myocyte necrosis and inflammation, Interference with Laboratory Tests, Interference with Visualization of Liver Lesions, reduced hepatic contrast"
BELEODAQ,adverse reactions,
BELEODAQ,warnings and precautions,"Thrombocytopenia, leukopenia, neutropenia, lymphopenia, anemia, infection, pneumonia, sepsis, hepatotoxicity, liver function test abnormalities, tumor lysis syndrome, embryo-fetal toxicity, fetal harm, teratogenicity, embryo-fetal lethality, nausea, vomiting, diarrhea"
VICTRELIS,adverse reactions,
VICTRELIS,warnings and precautions,
VIMIZIM,adverse reactions,"Anaphylaxis, hypersensitivity reactions, pyrexia, vomiting, headache, nausea, abdominal pain, chills, fatigue"
VIMIZIM,boxed warnings,"Anaphylaxis, cough, erythema, throat tightness, urticaria, flushing, cyanosis, hypotension, rash, dyspnea, chest discomfort, gastrointestinal symptoms (nausea, abdominal pain, retching, and vomiting), acute exacerbation of respiratory compromise, hypersensitivity reactions"
VIMIZIM,warnings and precautions,"Anaphylaxis, Hypersensitivity Reactions, Acute Respiratory Complications, Cough, Erythema, Throat tightness, Urticaria, Flushing, Cyanosis, Hypotension, Rash, Dyspnea, Chest discomfort, Gastrointestinal symptoms, Nausea, Abdominal pain, Retching, Vomiting, Peripheral edema, Sleep apnea, Spinal or Cervical Cord Compression, Back pain, Paralysis of limbs below the level of compression, Urinary incontinence, Fecal incontinence"
SIRTURO,adverse reactions,"Increased mortality, QT Prolongation, Hepatotoxicity, Drug Interactions, nausea, arthralgia, headache, hemoptysis, chest pain, Anorexia, Transaminases Increased, Rash, Blood Amylase Increased, aminotransferase elevations"
SIRTURO,boxed warnings,"Increased Mortality, QT Prolongation, significant ventricular arrhythmia, QTcF interval >500 ms, QTcF interval prolongation of greater than 500 ms"
SIRTURO,warnings and precautions,
NEURACEQ,adverse reactions,"Injection site reaction, erythema, irritation, pain"
NEURACEQ,warnings and precautions,"Image interpretation errors, false positives, unintentional radiation exposure, cumulative radiation exposure, Risk for Image Misinterpretation, errors in Neuraceq estimation, errors due to severe brain atrophy, errors due to motion artifacts, increased risk of cancer."
COMETRIQ,adverse reactions,
COMETRIQ,boxed warnings,"Perforations and fistulas, Hemorrhage, Gastrointestinal perforations, Fistula formation, Hemoptysis, Gastrointestinal hemorrhage, Bleeding, Severe hemorrhage"
COMETRIQ,warnings and precautions,
AFINITOR,adverse reactions,
AFINITOR,warnings and precautions,
BREO,adverse reactions,
BREO,boxed warnings,"asthma-related death, increase in asthma-related deaths, increased risk of asthma-related death, asthma-related hospitalization"
BREO,warnings and precautions,
FIRAZYR,adverse reactions,"Injection site reactions, pyrexia, transaminase increase, dizziness, rash, nausea, headache"
FIRAZYR,warnings and precautions,"Laryngeal attacks, airway obstruction"
INVOKANA,adverse reactions,
INVOKANA,warnings and precautions,"Hypotension, Impairment in Renal Function, Hyperkalemia, Hypoglycemia, Genital mycotic infections, Hypersensitivity reactions, Bone fracture, Increased LDL-C"
VORAXAZE,adverse reactions,"Serious allergic reactions, anaphylactic reactions, paraesthesias, flushing, nausea, vomiting, hypotension, headache, myelosuppression, mucositis, acute hepatitis, renal dysfunction, renal failure, blurred vision, diarrhea, hypersensitivity, hypertension, rash, throat irritation, throat tightness, tremor"
VORAXAZE,warnings and precautions,"Serious allergic reactions, anaphylactic reactions"
NESINA,adverse reactions,
NESINA,warnings and precautions,
GILENYA,adverse reactions,"Bradyarrhythmia, Atrioventricular Blocks, Infections, Progressive multifocal leukoencephalopathy, Macular Edema, Posterior Reversible Encephalopathy Syndrome, Respiratory Effects, Liver Injury, Headache, liver transaminase elevation, diarrhea, cough, influenza, sinusitis, back pain, abdominal pain, pain in extremity, serum transaminase elevations, basal cell carcinoma, Influenza, Sinusitis, Bronchitis, Herpes zoster, Tinea versicolor, Bradycardia, Headache, Migraine, Nausea, Diarrhea, Abdominal pain, Asthenia, Back pain, Pain in extremity, Alopecia, Actinic keratosis, Liver transaminase elevations, Blood triglycerides increased, Cough, Dyspnea, Vision blurred, Hypertension, Lymphopenia, Leukopenia, Skin papilloma, Basal cell carcinoma, dizziness, pneumonia, eczema, pruritus, Vascular events, ischemic and hemorrhagic strokes, peripheral arterial occlusive disease, Lymphomas"
GILENYA,warnings and precautions,
HALAVEN,adverse reactions,
HALAVEN,warnings and precautions,"Neutropenia, Peripheral Neuropathy, Embryo-Fetal Toxicity, QT Prolongation, congestive heart failure, bradyarrhythmias, electrolyte abnormalities, congenital long QT syndrome, severe neutropenia, febrile neutropenia, Grade 3 or 4 cytopenias, Grade 3 peripheral neuropathy, Grade 4 peripheral neuropathy, peripheral motor and sensory neuropathy, Embryo-fetal toxicity, teratogenicity, hypokalemia, hypomagnesemia"
INTELENCE,adverse reactions,
INTELENCE,warnings and precautions,"Severe skin reactions, fatal skin reactions, Stevens-Johnson syndrome, hypersensitivity reaction, toxic epidermal necrolysis, erythema multiforme, severe hypersensitivity, severe rash, rash with systemic symptoms, liver transaminase elevations, Drug Rash with Eosinophilia and Systemic Symptoms (DRESS), rash, constitutional findings, organ dysfunction, hepatic failure, Grade 3 and 4 rashes, severe skin reactions, rash accompanied by fever, general malaise, fatigue, muscle or joint aches, blisters, oral lesions, conjunctivitis, facial edema, hepatitis, eosinophilia, angioedema, Redistribution/accumulation of body fat, central obesity, dorsocervical fat enlargement (buffalo hump), peripheral wasting, facial wasting, breast enlargement, ""cushingoid appearance"", Immune reconstitution syndrome, inflammatory response, Mycobacterium avium infection, cytomegalovirus, Pneumocystis jiroveci pneumonia (PCP), tuberculosis, Autoimmune disorders, Graves' disease, polymyositis, Guillain-Barre syndrome."
AMYVID,adverse reactions,"headache, musculoskeletal pain, blood pressure increased, fatigue, nausea, injection site reaction, anxiety, back pain, claustrophobia, dizziness, feeling cold, insomnia, neck pain, infusion site rash, dysgeusia, pruritis, urticaria, flushing"
AMYVID,warnings and precautions,"Image interpretation errors, false negatives, Radiation risk, unintentional radiation exposure, errors in Amyvid estimation of brain neuritic plaque density, extensive brain atrophy, motion artifacts, increase risk of cancer"
ULESFIA,adverse reactions,"Ocular irritation, application site irritation, application site anesthesia, hypoesthesia, pain, pruritus, erythema, pyoderma, application site dryness, application site excoriation, paraesthesia, application site dermatitis, excoriation, thermal burn, dandruff, rash, skin exfoliation"
ULESFIA,warnings and precautions,"Neonatal toxicity, gasping syndrome, Eye irritation, Contact dermatitis, allergic dermatitis, irritant dermatitis, severe metabolic acidosis, gasping respirations, progressive hypotension, seizures, central nervous system depression, intraventricular hemorrhage, death"
OTEZLA,adverse reactions,"Diarrhea, nausea, headache, upper respiratory tract infection, tension headache, vomiting, abdominal pain, fatigue, dyspepsia, decreased appetite, insomnia, back pain, migraine, frequent bowel movements, depression, bronchitis, tooth abscess, folliculitis, sinus headache, severe worsening of psoriasis."
OTEZLA,warnings and precautions,"Depression, suicidal thoughts, mood changes, weight decrease, loss of efficacy"
ILARIS,adverse reactions,
ILARIS,warnings and precautions,
NATAZIA,adverse reactions,"Serious cardiovascular events, stroke, vascular events, liver disease, irregular uterine bleeding, nausea, breast tenderness, headache, headaches, migraines, breast tenderness, pain, menstrual disorders, nausea/or vomiting, acne, mood changes, increased weight, menstrual disorder, metrorrhagia, menorrhagia, menstruation irregular, genital hemorrhage, vaginal hemorrhage, dysfunctional uterine bleeding, depression, mood swings, mood altered, depressed mood, dysthymic disorder, crying, weight increased, myocardial infarction, ruptured ovarian cyst, deep vein thrombosis, focal nodular hyperplasia of the liver, uterine leiomyoma, acute cholecystitis, chronic acalculous cholecystitis, venous and arterial thromboembolic events, pulmonary emboli, cerebral thrombosis, hypertension, gallbladder disease, hepatitis, hypersensitivity, fluid retention, hypertriglyceridemia, dizziness, chloasma, angioedema, erythema nodosum, erythema multiforme, gastrointestinal symptoms, abdominal pain, vulvovaginal candidiasis"
NATAZIA,boxed warnings,"Cigarette smoking, Serious cardiovascular events"
NATAZIA,warnings and precautions,
DIFICID,adverse reactions,"nausea, vomiting, abdominal pain, gastrointestinal hemorrhage, anemia, neutropenia, abdominal distension, abdominal tenderness, dyspepsia, dysphagia, flatulence, intestinal obstruction, megacolon, increased blood alkaline phosphatase, decreased blood bicarbonate, increased hepatic enzymes, decreased platelet count, hyperglycemia, metabolic acidosis, drug eruption, pruritus, rash, hypersensitivity reactions, dyspnea, angioedema"
DIFICID,warnings and precautions,"Systemic infections, Acute hypersensitivity reactions, angioedema, dyspnea, pruritus, rash, Drug-resistant bacteria"
ONFI,adverse reactions,
ONFI,warnings and precautions,"Somnolence, Sedation, Withdrawal, Serious Dermatological Reactions, Stevens-Johnson syndrome, toxic epidermal necrolysis, Physical and Psychological Dependence, Suicidal Behavior and Ideation, depression, convulsions, psychosis, hallucinations, behavioral disorder, tremor, anxiety, dysphoria, insomnia, rash, habituation, Signs or symptoms of SJS/TEN, suicidal thoughts or behaviors, worsening of depression, any unusual changes in mood or behavior, thinking or behavior related to suicide."
TECFIDERA,adverse reactions,"Anaphylaxis, Angioedema, Progressive multifocal leukoencephalopathy, Lymphopenia, Flushing, Abdominal pain, Diarrhea, Nausea, Vomiting, Pruritus, Rash, Albumin urine present, Erythema, Dyspepsia, Aspartate aminotransferase increased, Elevated hepatic transaminases, Eosinophilia"
TECFIDERA,warnings and precautions,
DYSPORT,adverse reactions,
DYSPORT,boxed warnings,"asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death"
DYSPORT,warnings and precautions,"respiratory difficulties, speech difficulties, swallowing difficulties, clinical effects of treatment, transmission of Creutzfeldt-Jakob disease (CJD), asthenia, generalized muscle weakness, diplopia, blurred vision, ptosis, dysphagia, dysphonia, dysarthria, urinary incontinence, breathing difficulties, death related to spread of toxin effects, spread of toxin effect, swallowing difficulties, breathing difficulties, severe dysphagia, use of a feeding tube, aspiration, critical loss of breathing capacity, respiratory failure, problems with swallowing, speech disorders, respiratory disorders, excessive weakness or atrophy in the target muscle(s), marked facial asymmetry, inflammation at the injection site(s), ptosis, excessive dermatochalasis, deep dermal scarring, thick sebaceous skin, inability to substantially lessen glabellar lines by physically spreading them apart, eyelid ptosis, peripheral motor neuropathic diseases, amyotrophic lateral sclerosis, neuromuscular junction disorders, severe dysphagia, respiratory compromise, transmission of viral diseases, intradermal immune reaction"
ZYTIGA,adverse reactions,
ZYTIGA,warnings and precautions,"Mineralocorticoid excess, Adrenocortical insufficiency, Hepatotoxicity, Hypertension, Hypokalemia, Fluid retention, Adrenal insufficiency, ALT or AST increases, liver enzyme increases, hepatotoxicity events, Elevations of AST, ALT, or bilirubin, liver function tests to the patient's baseline, AST or ALT greater than or equal to 20* ULN and/or bilirubin greater than or equal to 10* ULN."
DUAVEE,adverse reactions,"Cardiovascular Disorders, Malignant Neoplasms, Gallbladder Disease, Hypertriglyceridemia, muscle spasms, nausea, diarrhea, dyspepsia, abdominal pain upper, oropharyngeal pain, dizziness, neck pain, hot flush, venous thromboembolism, deep venous thrombosis, pulmonary embolism, retinal vein thrombosis"
DUAVEE,boxed warnings,
DUAVEE,warnings and precautions,
SAPHRIS,adverse reactions,
SAPHRIS,boxed warnings,"Increased mortality, Dementia-related psychosis, Risk of death"
SAPHRIS,warnings and precautions,
DUREZOL,adverse reactions,"elevated intraocular pressure, optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation, secondary ocular infection, herpes simplex, perforation of the globe, thinning of the cornea, thinning of the sclera, corneal edema, ciliary and conjunctival hyperemia, eye pain, photophobia, posterior capsule opacification, anterior chamber cells, anterior chamber flare, conjunctival edema, blepharitis, reduced visual acuity, punctate keratitis, eye inflammation, iritis, application site discomfort, application site irritation, corneal pigmentation, corneal striae, episcleritis, eye pruritis, eyelid irritation, eyelid crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, uveitis, blurred vision, eye irritation, headache, increased IOP, limbal and conjunctival hyperemia, dry eye, iridocyclitis, anterior chamber flare"
DUREZOL,warnings and precautions,"Intraocular pressure increase, glaucoma, damage to the optic nerve, defects in visual acuity, defects in fields of vision, cataracts, posterior subcapsular cataract formation, delayed healing, bleb formation, perforations of the cornea or sclera, bacterial infections, secondary ocular infections, masking infection, enhancing existing infection, viral infections, exacerbation of many viral infections of the eye, herpes simplex, fungal infections, fungus invasion, persistent corneal ulceration, absorption by soft contact lenses"
ZYDELIG,adverse reactions,"Hepatotoxicity, Severe Diarrhea, Colitis, Pneumonitis, Intestinal Perforation, Severe Cutaneous Reactions, Anaphylaxis, Neutropenia, diarrhea, pyrexia, fatigue, nausea, cough, pneumonia, abdominal pain, chills, rash, hypertriglyceridemia, hyperglycemia, ALT elevations, AST elevations, pneumonia, sepsis, febrile neutropenia, elevated transaminases, nausea, vomiting, gastroesophageal reflux disease, stomatitis, headache, pyrexia, chills, pain, rash, nasal congestion, sepsis, bronchitis, sinusitis, urinary tract infection, arthralgia, neutrophil count decreased, lymphocyte count decreased, lymphocyte count increased, ALT increased, AST increased, GGT increased, hypertriglyceridemia, hypoglycemia, hyponatremia, diarrhea, pneumonia, elevated transaminases, abdominal pain, vomiting, fatigue, pyrexia, asthenia, peripheral edema, upper respiratory tract infection, pneumonia, cough, dyspnea, rash, night sweats, headache, decreased appetite, insomnia, ALT increased, AST increased, neutrophils decreased, hemoglobin decreased, platelets decreased."
ZYDELIG,boxed warnings,"Fatal and serious toxicities, Hepatic, Severe diarrhea, Colitis, Pneumonitis, Intestinal perforation, Fatal and/or serious hepatotoxicity, Pulmonary symptoms, Bilateral interstitial infiltrates"
ZYDELIG,warnings and precautions,"Severe cutaneous reactions, Anaphylaxis, Neutropenia, Embryo-fetal toxicity, Hepatotoxicity, Severe Diarrhea or Colitis, Pneumonitis, Intestinal Perforation"
KALBITOR,adverse reactions,"Hypersensitivity reactions, anaphylaxis, headache, nausea, diarrhea, pyrexia, injection site reactions, nasopharyngitis, fatigue, upper respiratory tract infection, vomiting, pruritus, upper abdominal pain, local pruritus, erythema, pain, irritation, urticaria, bruising"
KALBITOR,boxed warnings,"Anaphylaxis, Hypersensitivity reactions, Hereditary angioedema"
KALBITOR,warnings and precautions,"Hypersensitivity Reactions, Anaphylaxis, chest discomfort, flushing, pharyngeal edema, pruritus, rhinorrhea, sneezing, nasal congestion, throat irritation, urticaria, wheezing, hypotension, rash"
ADCETRIS,adverse reactions,
ADCETRIS,boxed warnings,"Progressive Multifocal Leukoencephalopathy, JC virus infection, death"
ADCETRIS,warnings and precautions,
BESIVANCE,adverse reactions,"conjunctival redness, blurred vision, eye pain, eye irritation, eye pruritus, headache"
BESIVANCE,warnings and precautions,"Topical Ophthalmic Use Only, Growth of Resistant Organisms with Prolonged Use, Avoidance of Contact Lenses, overgrowth of non-susceptible organisms, super-infection, bacterial conjunctivitis"
CLEVIPREX,adverse reactions,"Hypotension, Reflex Tachycardia, headache, nausea, vomiting, Acute renal failure, Atrial fibrillation, myocardial infarction, cardiac arrest, syncope, dyspnea, increased blood triglycerides, ileus, hypersensitivity, decreased oxygen saturation, possible pulmonary shunting"
CLEVIPREX,warnings and precautions,"Hypotension, Reflex tachycardia, Negative inotropic effects, Exacerbate heart failure, Rebound Hypertension"
XTANDI,adverse reactions,
XTANDI,warnings and precautions,"Seizure, loss of consciousness, transient ischemic attack, cerebral vascular accident, brain metastases, brain arteriovenous malformation, sudden loss of consciousness"
BOSULIF,adverse reactions,
BOSULIF,warnings and precautions,
CARBAGLU,adverse reactions,"Infections, vomiting, abdominal pain, pyrexia, tonsillitis, anemia, ear infection, diarrhea, nasopharyngitis, headache, dysgeusia, asthenia, hyperhidrosis, influenza, pneumonia, hemoglobin decreased, weight decreased, anorexia, somnolence, rash"
CARBAGLU,warnings and precautions,"Hyperammonemia, injury to the brain, death, brain injury/damage"
SIMPONI,adverse reactions,
SIMPONI,boxed warnings,"SERIOUS INFECTIONS, MALIGNANCY, Serious infections leading to hospitalization or death, tuberculosis (TB), bacterial sepsis, invasive fungal (such as histoplasmosis), opportunistic infections, Active tuberculosis, reactivation of latent tuberculosis, disseminated or extrapulmonary disease, Invasive fungal infections, histoplasmosis, coccidioidomycosis, candidiasis, aspergillosis, blastomycosis, pneumocystosis, disseminated disease, Bacterial, viral, and other infections due to opportunistic pathogens, Legionella, Listeria, Lymphoma"
SIMPONI,warnings and precautions,
BENLYSTA,adverse reactions,"Mortality, Serious Infections, Malignancy, Hypersensitivity Reactions, Anaphylaxis, Infusion Reactions, Depression, Nausea, Diarrhea, Pyrexia, Nasopharyngitis, Bronchitis, Insomnia, Pain in extremity, Migraine, Pharyngitis, Lupus Nephritis, Infections, Cystitis, Leukopenia, Gastroenteritis viral, Fatal anaphylaxis"
BENLYSTA,warnings and precautions,
TOVIAZ,adverse reactions,"Dry mouth, Constipation, Angina, Chest pain, Gastroenteritis, QT prolongation on ECG, Dyspepsia, Nausea, Abdominal pain upper, Urinary tract infection, Upper respiratory tract infection, Dry eyes, Dysuria, Urinary retention, Cough, Dry throat, Edema peripheral, Back pain, Insomnia, ALT increased, GGT increased, Rash, Urinary retention, Diverticulitis, Irritable bowel syndrome, Electrocardiogram QT corrected interval prolongation, Blurred vision, Palpitations, Hypersensitivity reactions, Angioedema with airway obstruction, Face edema, Dizziness, Headache, Somnolence, Urticaria, Pruritus."
TOVIAZ,warnings and precautions,"Angioedema of the face, lips, tongue, larynx, urinary retention, decreased gastrointestinal motility, severe constipation, narrow-angle glaucoma, Central Nervous System Effects, somnolence, headache, dizziness, hepatic impairment, renal impairment."
ENTEREG,adverse reactions,dyspepsia
ENTEREG,boxed warnings,Myocardial infarction
ENTEREG,warnings and precautions,
VIZAMYL,adverse reactions,"Flushing, headache, increased blood pressure, nausea, dizziness, hypersensitivity reaction, dyspnea, chest pressure"
VIZAMYL,warnings and precautions,"Hypersensitivity reactions, Image interpretation errors, Radiation risk, Flushing, Dyspnea, Risk for Image Misinterpretation, Motion artifacts, Increased risk of cancer, Unintentional radiation exposure"
AMPYRA,adverse reactions,
AMPYRA,warnings and precautions,"seizures, anaphylaxis, renal impairment, adverse reactions, severe allergic reactions, respiratory compromise, urticaria, angioedema of the throat and or tongue, Urinary Tract Infections (UTIs)"
